type,received_at,event_text_encoded,uptime_s,temp_c,gyro_z_dps,command_value,random,pd0,pd1,pd2,pd3,photoreflector_adc,wifi_signal_quality
telemetry,20:23:37,,824,34.99,-51.03,0,448,182,6,4,11,989,89
telemetry,20:23:37,,824,34.99,-53.71,0,526,184,6,6,14,989,89
telemetry,20:23:38,,825,34.53,-41.82,0,657,144,5,8,18,988,89
telemetry,20:23:38,,825,34.99,-20.06,0,484,97,12,10,130,988,89
pc_command,20:23:39,CAPTURE,0,0.00,NA,0,0,0,0,0,0,NA,89
telemetry,20:23:39,,826,34.53,5.73,0,148,83,11,11,141,989,89
pico_reply,20:23:39,ACK%2CCAPTURE,0,0.00,NA,0,0,0,0,0,0,NA,89
camera,20:23:40,Camera%20image%20saved%3A%20camera_20260910_202340_392.bmp,0,0.00,NA,0,0,0,0,0,0,NA,89
telemetry,20:23:40,,827,34.06,27.74,0,194,147,5,9,17,989,89
telemetry,20:23:40,,828,34.53,26.21,0,153,174,5,7,14,989,89
telemetry,20:23:41,,828,32.65,18.65,0,302,185,7,6,14,989,89
telemetry,20:23:41,,829,34.06,6.03,0,101,183,7,6,15,988,89
telemetry,20:23:42,,829,34.53,-5.06,0,574,184,7,5,15,988,89
telemetry,20:23:42,,830,34.06,-6.34,0,470,184,7,6,14,989,89
telemetry,20:23:43,,830,34.99,-7.37,0,154,185,7,6,13,988,89
telemetry,20:23:43,,831,34.53,-6.82,0,671,180,6,6,13,989,89
telemetry,20:23:44,,831,35.93,-1.76,0,453,177,6,6,12,988,89
telemetry,20:23:44,,832,35.93,0.12,0,455,178,6,6,13,988,89
pc_command,20:23:45,80,0,0.00,NA,0,0,0,0,0,0,NA,89
pico_reply,20:23:45,ACK%2CSET_VALUE%2C80,0,0.00,NA,0,0,0,0,0,0,NA,89
telemetry,20:23:45,,832,34.06,50.97,80,418,181,6,6,13,856,89
telemetry,20:23:48,,833,34.99,37.86,80,461,182,6,4,12,573,89
telemetry,20:23:48,,833,34.53,13.04,80,59,174,57,4,10,713,89
telemetry,20:23:48,,834,34.06,-6.82,80,75,175,53,4,11,818,89
telemetry,20:23:48,,834,34.99,-23.29,80,893,183,6,4,12,986,89
telemetry,20:23:48,,835,34.53,-29.20,80,302,182,6,5,15,989,89
telemetry,20:23:48,,835,35.93,-29.87,80,10,181,6,6,13,928,89
telemetry,20:23:48,,836,34.06,-22.50,80,858,165,4,8,13,625,89
telemetry,20:23:49,,836,34.99,-6.52,80,678,151,5,8,14,730,89
telemetry,20:23:50,,837,34.53,7.07,80,938,153,5,8,13,738,90
pc_command,20:23:50,0,0,0.00,NA,0,0,0,0,0,0,NA,90
pico_reply,20:23:50,ACK%2CSET_VALUE%2C0,0,0.00,NA,0,0,0,0,0,0,NA,90
telemetry,20:23:50,,837,34.99,-37.13,0,431,123,11,10,106,989,90
telemetry,20:23:51,,838,34.53,-11.89,0,230,78,11,11,148,989,90
telemetry,20:23:51,,838,34.53,10.48,0,281,80,12,12,145,989,90
telemetry,20:23:52,,839,34.99,23.41,0,8,115,12,10,117,990,90
pc_command,20:23:52,CAPTURE,0,0.00,NA,0,0,0,0,0,0,NA,90
pico_reply,20:23:52,ACK%2CCAPTURE,0,0.00,NA,0,0,0,0,0,0,NA,90
camera,20:23:53,Camera%20image%20saved%3A%20camera_20260910_202353_199.bmp,0,0.00,NA,0,0,0,0,0,0,NA,90
telemetry,20:23:53,,840,34.99,24.81,0,129,182,6,7,16,990,90
telemetry,20:23:53,,840,34.99,12.43,0,982,184,6,5,14,989,90
telemetry,20:23:54,,841,34.99,-4.93,0,354,183,6,5,15,989,90
telemetry,20:23:54,,841,34.99,-9.02,0,406,184,8,6,17,990,90
telemetry,20:23:55,,842,34.53,-9.26,0,678,185,7,7,16,990,90
telemetry,20:23:55,,842,34.53,-8.29,0,557,180,6,7,13,990,90
telemetry,20:23:56,,843,34.99,-4.87,0,82,177,6,7,14,990,90
telemetry,20:23:56,,843,34.53,0.18,0,240,177,6,7,15,990,90
telemetry,20:23:57,,844,34.53,0.91,0,50,178,6,7,16,990,90
telemetry,20:23:57,,844,36.40,0.06,0,408,179,6,7,17,990,90
telemetry,20:23:58,,845,34.99,0.42,0,418,179,6,7,17,990,90
telemetry,20:23:58,,845,34.99,0.12,0,621,178,6,7,16,990,90
telemetry,20:23:59,,846,34.53,0.06,0,787,178,5,6,15,990,90
telemetry,20:23:59,,846,34.53,0.06,0,369,178,5,6,14,990,90
telemetry,20:24:00,,847,34.53,0.12,0,209,178,6,7,16,991,90
pc_command,20:24:00,80,0,0.00,NA,0,0,0,0,0,0,NA,90
pico_reply,20:24:00,ACK%2CSET_VALUE%2C80,0,0.00,NA,0,0,0,0,0,0,NA,90
telemetry,20:24:00,,847,34.99,51.40,80,719,184,6,5,17,952,90
telemetry,20:24:01,,848,34.53,27.01,80,595,186,9,4,12,986,90
telemetry,20:24:01,,849,34.99,0.06,80,290,177,53,4,11,965,90
telemetry,20:24:02,,849,35.46,-17.56,80,780,186,37,4,12,587,90
telemetry,20:24:02,,850,34.99,-29.02,80,149,186,6,4,14,726,90
telemetry,20:24:03,,850,34.99,-30.60,80,566,186,8,6,17,718,90
pc_command,20:24:03,0,0,0.00,NA,0,0,0,0,0,0,NA,90
pico_reply,20:24:03,ACK%2CSET_VALUE%2C0,0,0.00,NA,0,0,0,0,0,0,NA,90
telemetry,20:24:03,,851,34.53,-80.67,0,270,158,5,9,17,591,90
telemetry,20:24:04,,851,34.53,-56.34,0,121,43,4,14,179,594,90
telemetry,20:24:04,,852,36.40,-21.82,0,85,8,5,16,185,595,90
telemetry,20:24:05,,852,35.93,13.96,0,750,7,5,16,185,596,90
telemetry,20:24:05,,853,35.46,35.30,0,51,19,4,15,183,597,90
pc_command,20:24:06,CAPTURE,0,0.00,NA,0,0,0,0,0,0,NA,90
pico_reply,20:24:06,ACK%2CCAPTURE,0,0.00,NA,0,0,0,0,0,0,NA,90
camera,20:24:07,Camera%20image%20saved%3A%20camera_20260910_202407_229.bmp,0,0.00,NA,0,0,0,0,0,0,NA,90
telemetry,20:24:07,,854,34.06,45.60,0,412,187,7,6,17,598,90
telemetry,20:24:07,,854,34.99,27.31,0,111,185,6,4,15,597,90
telemetry,20:24:08,,855,34.99,1.28,0,19,186,7,4,13,598,90
telemetry,20:24:08,,855,34.53,-15.54,0,9,186,6,4,13,598,90
telemetry,20:24:09,,856,35.46,-23.04,0,652,185,6,5,17,598,90
telemetry,20:24:09,,856,34.53,-24.57,0,225,187,7,6,17,597,90
telemetry,20:24:10,,857,34.99,-18.90,0,303,175,5,8,16,598,90
telemetry,20:24:10,,857,34.53,-7.25,0,8,165,4,7,14,598,90
telemetry,20:24:11,,858,34.53,3.23,0,775,165,5,7,13,598,90
telemetry,20:24:11,,858,34.99,0.60,0,819,165,4,7,13,598,90
telemetry,20:24:12,,859,34.99,0.06,0,555,165,5,7,13,598,90
telemetry,20:24:12,,860,34.53,0.12,0,901,165,4,6,14,598,90
telemetry,20:24:13,,860,34.53,0.06,0,859,165,4,6,13,598,90
telemetry,20:24:13,,861,34.53,0.12,0,470,165,4,6,13,598,90
telemetry,20:24:14,,861,35.46,0.18,0,918,166,5,6,13,598,90
telemetry,20:24:14,,862,34.99,0.18,0,186,165,4,6,13,598,90
telemetry,20:24:15,,862,34.99,0.12,0,752,165,5,7,13,598,90
telemetry,20:24:15,,863,35.46,0.18,0,427,165,5,6,13,598,90
telemetry,20:24:16,,863,34.99,0.06,0,544,165,5,7,13,598,90
telemetry,20:24:16,,864,34.99,0.06,0,680,165,4,6,13,598,90
telemetry,20:24:17,,864,35.46,0.12,0,610,165,4,6,13,598,90
telemetry,20:24:17,,865,34.53,0.18,0,607,165,4,6,13,598,90
telemetry,20:24:18,,865,34.99,0.12,0,988,165,4,6,12,598,90
telemetry,20:24:18,,866,35.46,0.12,0,499,165,4,6,12,598,90
telemetry,20:24:19,,866,34.53,0.18,0,923,165,4,6,13,598,90
telemetry,20:24:19,,867,34.99,0.12,0,767,165,4,6,13,598,90
telemetry,20:24:20,,867,35.46,0.06,0,264,165,5,6,13,598,90
telemetry,20:24:20,,868,34.53,0.12,0,580,165,5,6,13,598,90
telemetry,20:24:21,,868,34.99,0.06,0,658,165,4,6,13,599,90
telemetry,20:24:21,,869,34.99,0.18,0,766,165,5,7,13,599,90
telemetry,20:24:22,,869,33.59,0.12,0,201,165,4,6,12,599,90
telemetry,20:24:22,,870,34.99,0.12,0,822,165,4,6,12,599,90
telemetry,20:24:23,,870,34.99,0.06,0,887,165,4,6,12,599,90
telemetry,20:24:24,,871,34.53,0.06,0,965,165,4,6,12,598,90
telemetry,20:24:24,,871,34.53,0.18,0,729,165,4,6,12,599,90
telemetry,20:24:25,,872,34.99,0.00,0,816,165,4,6,11,599,90
telemetry,20:24:25,,872,34.53,0.12,0,460,165,4,6,10,598,90
telemetry,20:24:26,,873,34.53,0.12,0,238,165,4,6,11,599,90
telemetry,20:24:26,,873,32.65,0.06,0,266,165,4,6,10,599,90
telemetry,20:24:27,,874,34.53,0.12,0,736,165,4,6,10,599,90
telemetry,20:24:27,,874,34.99,0.06,0,94,165,4,6,10,599,90
telemetry,20:24:28,,875,34.99,0.12,0,621,164,4,6,10,599,90
telemetry,20:24:28,,875,35.46,0.00,0,541,165,4,6,8,599,90
telemetry,20:24:29,,876,34.99,0.12,0,471,165,5,7,13,599,90
telemetry,20:24:29,,876,34.53,0.06,0,685,165,5,7,14,599,90
telemetry,20:24:30,,877,35.46,0.12,0,975,165,4,7,11,599,90
telemetry,20:24:30,,877,34.99,0.06,0,17,165,4,7,12,599,90
telemetry,20:24:31,,878,34.99,0.12,0,532,165,4,7,12,599,90
telemetry,20:24:31,,878,35.46,0.06,0,308,165,5,7,12,599,90
telemetry,20:24:32,,879,34.99,0.06,0,393,164,4,7,11,599,90
telemetry,20:24:32,,879,34.99,0.12,0,170,165,4,7,11,599,90
telemetry,20:24:33,,880,34.99,0.06,0,205,165,4,6,11,599,90
telemetry,20:24:33,,880,34.99,0.12,0,833,165,5,7,12,599,90
telemetry,20:24:34,,881,34.53,0.06,0,248,164,5,7,12,599,90
telemetry,20:24:34,,881,34.53,0.18,0,334,164,4,7,11,599,90
telemetry,20:24:35,,882,35.46,0.06,0,814,164,5,7,12,599,90
telemetry,20:24:35,,882,34.53,0.06,0,545,164,5,7,12,599,90
telemetry,20:24:36,,883,34.99,0.18,0,376,165,4,7,14,599,90
telemetry,20:24:36,,883,34.99,0.12,0,936,164,5,7,15,599,90
telemetry,20:24:37,,884,34.99,0.12,0,569,165,5,8,16,599,90
telemetry,20:24:37,,884,34.99,0.12,0,735,165,5,8,16,599,90
telemetry,20:24:38,,885,34.99,0.18,0,339,166,5,8,16,599,90
telemetry,20:24:38,,885,35.46,0.12,0,197,166,5,8,16,599,90
telemetry,20:24:39,,886,34.53,0.12,0,227,166,5,8,16,599,90
telemetry,20:24:39,,886,34.99,0.18,0,909,165,5,8,16,599,90
telemetry,20:24:40,,887,34.53,0.18,0,784,165,5,8,16,599,90
telemetry,20:24:40,,887,34.99,0.18,0,741,165,5,8,17,599,90
telemetry,20:24:41,,888,34.53,0.18,0,326,165,5,9,17,599,90
telemetry,20:24:41,,888,33.12,0.12,0,701,165,5,9,16,600,90
telemetry,20:24:42,,889,34.99,0.06,0,623,165,5,9,15,599,90
telemetry,20:24:42,,889,34.99,0.18,0,702,165,5,9,16,599,90
telemetry,20:24:43,,890,34.53,0.12,0,928,165,5,9,15,599,90
telemetry,20:24:43,,890,35.46,0.12,0,15,165,5,8,16,599,90
telemetry,20:24:44,,891,35.46,0.12,0,290,165,5,8,16,599,90
telemetry,20:24:44,,891,34.99,0.12,0,262,165,5,8,16,600,90
telemetry,20:24:45,,892,35.93,0.06,0,544,165,5,8,17,599,90
telemetry,20:24:45,,892,34.99,0.12,0,319,165,5,8,17,599,90
telemetry,20:24:46,,893,34.53,0.12,0,447,165,5,8,17,599,90
telemetry,20:24:46,,893,35.46,0.06,0,500,166,5,8,17,599,90
telemetry,20:24:47,,894,34.99,0.06,0,850,166,5,8,18,599,90
telemetry,20:24:47,,894,34.53,0.18,0,396,166,5,8,17,599,90
telemetry,20:24:48,,895,34.99,0.12,0,270,165,5,8,18,599,90
telemetry,20:24:48,,895,34.53,0.18,0,201,166,5,8,18,600,90
telemetry,20:24:49,,896,34.53,0.12,0,79,166,5,9,18,599,90
telemetry,20:24:49,,896,34.99,0.12,0,583,165,5,9,18,599,90
telemetry,20:24:50,,897,34.53,0.12,0,944,166,5,9,17,600,90
