type,received_at,event_text_encoded,uptime_s,temp_c,gyro_z_dps,gyro_z_angle_deg,command_value,random,pd0,pd1,pd2,pd3,photoreflector_adc,wifi_signal_quality
connection,09:46:17,Pico%20connected,0,0.00,NA,NA,0,0,0,0,0,0,NA,97
pico_reply,09:46:17,PICO_CONNECTED,0,0.00,NA,NA,0,0,0,0,0,0,NA,97
pico_reply,09:46:17,ERROR%2CCAMERA%2CSCCB%20communication%20failed,0,0.00,NA,NA,0,0,0,0,0,0,NA,97
telemetry,09:46:17,,26,23.29,-2.07,0.00,0,93,768,766,768,768,989,97
telemetry,09:46:18,,27,25.16,0.12,0.06,0,819,768,766,769,768,990,97
telemetry,09:46:18,,27,25.16,0.36,0.12,0,154,768,766,768,768,981,97
telemetry,09:46:19,,28,25.16,0.06,0.09,0,920,768,766,768,769,931,97
telemetry,09:46:19,,28,24.69,0.06,0.06,0,82,768,766,768,768,853,97
telemetry,09:46:20,,29,25.63,0.12,0.03,0,611,768,766,768,768,851,97
telemetry,09:46:20,,29,24.69,0.06,0.06,0,128,768,766,768,768,851,97
telemetry,09:46:21,,30,24.69,0.12,0.12,0,125,768,766,768,768,850,97
telemetry,09:46:21,,30,24.69,0.12,0.12,0,584,768,766,768,768,813,97
telemetry,09:46:22,,31,37.33,0.06,0.15,0,876,768,766,768,768,829,97
telemetry,09:46:22,,31,24.69,0.12,0.21,0,856,768,766,768,769,829,97
telemetry,09:46:23,,32,25.63,0.06,0.27,0,592,768,766,768,769,828,97
telemetry,09:46:23,,32,25.16,0.06,0.30,0,408,768,766,768,768,704,97
telemetry,09:46:24,,33,25.16,0.06,0.33,0,793,768,766,768,768,783,97
telemetry,09:46:24,,33,25.16,0.42,0.55,0,791,768,766,768,768,692,97
telemetry,09:46:25,,34,26.57,0.24,0.67,0,52,768,766,768,768,544,97
telemetry,09:46:25,,34,25.63,-2.98,-2.18,0,739,768,766,768,768,573,97
telemetry,09:46:26,,35,25.16,0.18,-2.09,0,794,768,766,768,768,708,97
telemetry,09:46:26,,35,25.16,0.48,-1.84,0,468,768,766,768,768,638,97
telemetry,09:46:27,,36,28.44,0.06,-1.87,0,843,768,766,769,768,597,97
telemetry,09:46:27,,36,24.69,0.12,-1.93,0,551,768,766,769,768,611,97
telemetry,09:46:28,,37,24.69,0.00,-1.96,0,77,768,766,769,768,700,97
telemetry,09:46:28,,37,23.76,0.12,-2.03,0,74,768,766,769,769,696,97
telemetry,09:46:29,,38,24.69,0.06,-2.06,0,889,768,766,768,769,695,97
telemetry,09:46:29,,38,24.69,0.12,-2.12,0,147,768,766,769,768,693,97
telemetry,09:46:30,,39,26.10,0.00,-2.12,0,968,768,766,769,768,667,97
telemetry,09:46:30,,39,24.69,0.06,-2.15,0,357,768,766,769,769,668,97
telemetry,09:46:31,,40,25.16,0.00,-2.15,0,981,768,766,769,768,786,97
telemetry,09:46:31,,40,26.57,0.12,-2.21,0,77,768,766,769,768,787,97
telemetry,09:46:32,,41,30.31,0.12,-2.27,0,557,768,766,768,768,787,97
telemetry,09:46:32,,41,26.10,0.00,-2.27,0,502,768,766,768,768,780,97
telemetry,09:46:33,,42,25.63,0.06,-2.30,0,143,768,767,768,768,765,97
telemetry,09:46:33,,42,26.10,0.12,-2.36,0,248,769,766,769,768,849,97
telemetry,09:46:34,,43,24.69,0.00,-2.36,0,710,768,766,769,768,937,97
telemetry,09:46:34,,43,26.10,-2.56,-3.66,0,661,768,766,768,769,991,97
telemetry,09:46:35,,44,25.16,0.00,-3.66,0,870,768,766,769,768,988,97
telemetry,09:46:35,,44,24.69,0.06,-3.69,0,516,768,766,768,768,988,97
telemetry,09:46:36,,45,27.50,0.06,-3.72,0,539,768,766,769,768,987,97
telemetry,09:46:36,,45,26.10,0.06,-3.75,0,569,768,766,768,768,986,97
telemetry,09:46:37,,46,26.57,0.12,-3.81,0,404,768,766,769,767,985,97
telemetry,09:46:37,,46,24.69,0.12,-3.87,0,764,768,765,768,768,985,97
telemetry,09:46:38,,47,26.10,0.06,-3.90,0,144,768,766,769,768,985,97
telemetry,09:46:38,,47,25.16,0.06,-3.93,0,65,768,766,768,769,985,97
telemetry,09:46:39,,48,25.16,0.06,-3.96,0,360,768,766,768,769,985,97
telemetry,09:46:39,,48,26.57,0.06,-3.99,0,33,768,766,769,769,985,97
telemetry,09:46:40,,49,26.10,0.06,-4.02,0,577,768,766,769,768,984,97
telemetry,09:46:40,,49,27.50,0.06,-4.06,0,391,768,766,768,769,988,97
telemetry,09:46:41,,50,26.10,0.60,-3.75,0,834,768,766,769,768,991,97
telemetry,09:46:41,,51,25.63,-1.34,-4.42,0,99,768,766,769,768,932,97
telemetry,09:46:42,,51,25.16,0.00,-4.42,0,562,768,766,769,768,785,97
telemetry,09:46:42,,52,28.91,0.12,-4.49,0,330,768,766,769,768,574,97
telemetry,09:46:43,,52,27.50,0.12,-4.55,0,143,768,766,767,768,521,97
telemetry,09:46:43,,53,25.16,0.06,-4.58,0,818,768,766,767,768,521,97
telemetry,09:46:44,,53,25.16,0.12,-4.64,0,398,768,766,767,768,521,97
telemetry,09:46:44,,54,26.10,0.12,-4.70,0,126,768,766,765,769,521,97
