type,received_at,event_text_encoded,uptime_s,temp_c,gyro_z_dps,command_value,random,pd0,pd1,pd2,pd3,photoreflector_adc,wifi_signal_quality
connection,17:35:04,Pico%20connected,0,0.00,NA,0,0,0,0,0,0,NA,95
pico_reply,17:35:04,PICO_CONNECTED,0,0.00,NA,0,0,0,0,0,0,NA,95
telemetry,17:35:04,,36,20.48,0.48,0,869,769,768,767,765,745,95
telemetry,17:35:04,,37,22.35,1.09,0,283,769,768,767,766,943,95
telemetry,17:35:05,,37,22.35,0.67,0,907,769,768,767,765,988,95
telemetry,17:35:06,,38,22.35,0.06,0,240,769,769,767,766,969,95
telemetry,17:35:06,,38,22.35,0.00,0,500,769,768,767,765,915,95
telemetry,17:35:06,,39,22.35,1.21,0,674,769,768,767,765,739,95
telemetry,17:35:07,,39,22.35,0.24,0,254,769,769,767,766,559,95
telemetry,17:35:07,,40,22.82,0.36,0,720,769,768,767,765,712,95
telemetry,17:35:08,,40,22.35,0.06,0,594,769,769,767,764,706,95
telemetry,17:35:08,,41,22.35,0.18,0,545,769,768,766,764,841,95
telemetry,17:35:09,,41,22.35,0.00,0,165,769,768,767,764,921,95
telemetry,17:35:09,,42,22.35,0.00,0,59,769,768,767,764,989,95
telemetry,17:35:10,,42,22.35,0.06,0,631,769,769,766,764,991,95
telemetry,17:35:10,,43,22.35,0.30,0,4,769,768,767,765,976,95
telemetry,17:35:11,,43,22.35,0.18,0,985,769,769,767,765,828,95
telemetry,17:35:12,,44,22.35,-1.52,0,879,769,769,766,765,636,95
telemetry,17:35:12,,44,22.82,0.73,0,164,769,769,767,765,679,95
telemetry,17:35:12,,45,22.35,0.12,0,959,769,768,767,764,674,95
telemetry,17:35:13,,45,22.82,0.24,0,902,769,768,767,765,833,95
telemetry,17:35:14,,46,22.35,0.24,0,138,769,768,766,765,789,95
telemetry,17:35:14,,46,22.35,0.42,0,348,769,769,767,766,922,95
telemetry,17:35:15,,47,22.82,0.30,0,446,769,768,767,766,988,95
telemetry,17:35:15,,48,22.35,0.54,0,591,769,769,767,766,989,95
telemetry,17:35:16,,48,22.82,0.18,0,377,769,769,767,766,983,95
telemetry,17:35:16,,49,22.35,0.06,0,303,769,768,767,766,870,95
telemetry,17:35:17,,49,22.82,-1.15,0,682,769,768,767,767,600,95
telemetry,17:35:17,,50,22.82,0.06,0,397,769,768,767,767,688,95
telemetry,17:35:18,,50,22.35,0.48,0,377,769,768,767,766,627,95
telemetry,17:35:18,,51,22.82,0.30,0,540,769,769,767,767,876,95
telemetry,17:35:19,,51,22.82,0.54,0,695,769,769,767,766,785,95
telemetry,17:35:19,,52,22.82,0.54,0,750,769,768,767,767,971,95
telemetry,17:35:20,,52,22.82,0.24,0,717,769,768,767,767,989,95
telemetry,17:35:20,,53,22.82,1.58,0,95,769,768,767,766,973,95
telemetry,17:35:21,,53,22.82,0.36,0,688,769,769,767,767,947,95
telemetry,17:35:21,,54,22.82,0.18,0,703,769,768,767,767,841,95
telemetry,17:35:22,,54,22.82,0.79,0,856,770,769,767,773,608,95
telemetry,17:35:22,,55,22.82,0.12,0,821,771,769,769,777,708,95
telemetry,17:35:23,,55,22.82,0.60,0,27,771,770,768,778,654,95
telemetry,17:35:23,,56,22.82,0.30,0,424,772,769,768,779,837,95
telemetry,17:35:24,,56,22.82,0.12,0,866,773,768,769,779,780,95
telemetry,17:35:24,,57,22.82,0.06,0,753,768,770,778,766,937,95
telemetry,17:35:25,,57,22.82,0.73,0,787,769,773,780,772,989,95
telemetry,17:35:25,,58,22.82,0.54,0,85,769,771,779,769,989,95
telemetry,17:35:26,,58,22.82,0.24,0,53,768,779,767,765,984,95
telemetry,17:35:26,,59,22.82,0.06,0,513,769,769,767,765,856,95
telemetry,17:35:27,,59,22.82,-1.03,0,375,768,777,767,765,615,95
telemetry,17:35:27,,60,22.82,0.18,0,339,769,779,772,768,710,95
telemetry,17:35:28,,60,22.82,0.85,0,850,776,774,772,766,634,95
telemetry,17:35:28,,61,22.82,-1.21,0,882,769,769,767,766,867,95
telemetry,17:35:29,,61,22.82,0.00,0,651,769,769,767,767,796,95
telemetry,17:35:29,,62,22.82,0.12,0,997,769,768,767,766,953,95
telemetry,17:35:30,,62,22.82,0.00,0,728,769,769,767,766,988,95
telemetry,17:35:30,,63,22.82,0.48,0,633,769,769,767,766,990,95
