type,received_at,event_text_encoded,uptime_s,temp_c,gyro_z_dps,command_value,random,pd0,pd1,pd2,pd3,photoreflector_adc,wifi_signal_quality
pc_command,17:38:08,CAPTURE,0,0.00,NA,0,0,0,0,0,0,NA,95
camera,17:38:08,Camera%20image%20rejected%3A%20CRC%20mismatch,0,0.00,NA,0,0,0,0,0,0,NA,95
pico_reply,17:38:09,%D7%DD%F8%E5%F6%DD%20%DE%F7%E5%D8%E5%20%EE%20%E68%E6TELEMETRY%2Cwifi_mode%3DAP%2Cuptime_s%3D221%2Ctemp_c%3D24.69%2Crandom%3D641%2Ccommand_value%3D-10%2Cgyro_z_dps%3D0.12%2Cphotodiode_adc%3D770%7C768%7C767%7C766%2Cphotoreflector_adc%3D679,0,0.00,NA,0,0,0,0,0,0,NA,95
telemetry,17:38:09,,222,25.16,0.00,-10,37,769,769,767,766,680,95
telemetry,17:38:10,,222,24.69,0.00,-10,889,769,768,767,765,680,95
telemetry,17:38:10,,223,25.16,0.06,-10,485,769,769,767,766,679,95
telemetry,17:38:11,,223,25.16,0.12,-10,693,769,769,767,766,680,95
telemetry,17:38:11,,224,25.16,0.06,-10,724,769,768,767,766,680,95
telemetry,17:38:12,,224,24.69,0.12,-10,48,769,768,767,766,680,95
telemetry,17:38:12,,225,24.69,0.06,-10,381,769,768,767,766,680,95
telemetry,17:38:13,,225,26.10,0.12,-10,978,769,768,767,766,679,95
telemetry,17:38:13,,226,24.69,0.12,-10,420,769,769,767,766,679,95
telemetry,17:38:14,,226,25.16,0.12,-10,159,769,769,767,766,680,95
