type,received_at,event_text_encoded,uptime_s,temp_c,gyro_z_dps,command_value,random,pd0,pd1,pd2,pd3,photoreflector_adc,wifi_signal_quality
connection,18:00:28,Pico%20connected,0,0.00,NA,0,0,0,0,0,0,NA,96
pico_reply,18:00:28,PICO_CONNECTED,0,0.00,NA,0,0,0,0,0,0,NA,96
telemetry,18:00:28,,1561,23.76,0.12,-10,717,558,607,488,768,768,96
telemetry,18:00:29,,1561,24.69,0.00,-10,424,554,596,512,768,768,96
telemetry,18:00:29,,1562,26.57,0.06,-10,424,591,537,500,768,768,96
telemetry,18:00:30,,1562,24.69,0.06,-10,589,621,587,515,768,768,96
telemetry,18:00:30,,1563,23.76,0.00,-10,736,609,608,507,768,769,96
telemetry,18:00:31,,1563,23.29,0.00,-10,978,641,633,516,768,769,96
telemetry,18:00:31,,1564,25.16,0.12,-10,728,617,613,507,768,769,96
telemetry,18:00:32,,1564,25.16,0.06,-10,687,631,632,514,768,769,96
telemetry,18:00:32,,1565,25.63,0.00,-10,336,610,618,511,768,768,96
telemetry,18:00:33,,1565,25.16,0.06,-10,525,635,628,512,768,769,96
telemetry,18:00:33,,1566,25.63,0.06,-10,782,623,619,513,768,769,96
telemetry,18:00:34,,1566,25.16,0.12,-10,213,617,619,508,768,768,96
telemetry,18:00:34,,1567,24.69,0.12,-10,628,601,612,515,768,768,96
telemetry,18:00:35,,1567,25.16,0.06,-10,296,582,579,504,768,768,96
telemetry,18:00:35,,1568,26.10,0.06,-10,254,626,565,513,768,768,96
telemetry,18:00:36,,1568,25.16,0.12,-10,40,590,574,500,768,768,96
telemetry,18:00:36,,1569,26.10,0.18,-10,476,481,588,512,768,769,96
telemetry,18:00:37,,1569,24.69,-91.82,-10,416,335,501,696,765,687,96
telemetry,18:00:37,,1570,25.16,-36.40,-10,836,497,375,763,687,715,96
telemetry,18:00:38,,1570,25.16,37.31,-10,876,563,299,767,650,697,96
telemetry,18:00:38,,1571,26.10,-5.30,-10,228,531,428,770,765,686,96
telemetry,18:00:39,,1571,25.63,-41.28,-10,286,712,492,767,396,683,96
telemetry,18:00:39,,1572,28.44,-9.51,-10,58,672,221,766,292,803,96
telemetry,18:00:40,,1572,26.57,193.71,-10,53,649,323,766,452,700,96
telemetry,18:00:40,,1573,25.16,-9.93,-10,368,527,500,371,764,697,96
telemetry,18:00:41,,1573,25.63,-5.06,-10,604,659,336,549,604,734,96
telemetry,18:00:41,,1574,24.69,28.71,-10,679,432,247,629,273,769,96
telemetry,18:00:42,,1574,25.63,10.73,-10,227,380,230,646,204,907,96
telemetry,18:00:42,,1575,25.16,-4.69,-10,712,495,255,645,277,795,96
telemetry,18:00:43,,1575,26.10,0.18,-10,804,763,718,750,376,694,96
telemetry,18:00:43,,1576,24.69,0.24,-10,671,763,627,744,372,693,96
telemetry,18:00:44,,1576,25.63,0.00,-10,694,764,615,752,376,694,96
telemetry,18:00:44,,1577,24.69,0.24,-10,540,763,626,749,378,693,96
telemetry,18:00:45,,1577,26.10,0.06,-10,337,764,609,749,373,693,96
pc_command,18:00:45,CAPTURE,0,0.00,NA,0,0,0,0,0,0,NA,96
pico_reply,18:00:45,ACK%2CCAPTURE,0,0.00,NA,0,0,0,0,0,0,NA,96
camera,18:00:46,Camera%20image%20saved%3A%20camera_20260910_180046_749.bmp,0,0.00,NA,0,0,0,0,0,0,NA,96
telemetry,18:00:46,,1579,26.10,0.12,-10,611,763,608,747,370,694,96
telemetry,18:00:47,,1579,24.69,0.12,-10,448,764,619,753,383,692,96
telemetry,18:00:47,,1580,25.16,0.12,-10,181,764,615,748,377,692,96
telemetry,18:00:48,,1580,25.16,0.06,-10,797,764,614,751,379,694,95
telemetry,18:00:48,,1581,25.16,0.00,-10,573,763,624,745,379,694,95
telemetry,18:00:49,,1581,24.69,0.00,-10,170,764,612,747,375,692,95
telemetry,18:00:49,,1582,24.69,0.06,-10,377,763,631,745,378,693,95
