type,received_at,event_text_encoded,uptime_s,temp_c,gyro_z_dps,command_value,random,pd0,pd1,pd2,pd3,photoreflector_adc,wifi_signal_quality
connection,21:48:45,Pico%20connected,0,0.00,NA,0,0,0,0,0,0,NA,92
pico_reply,21:48:45,PICO_CONNECTED,0,0.00,NA,0,0,0,0,0,0,NA,92
pico_reply,21:48:45,ERROR%2CCAMERA%2CSCCB%20communication%20failed,0,0.00,NA,0,0,0,0,0,0,NA,92
telemetry,21:48:45,,151,24.22,3.10,0,136,10,4,8,163,671,92
telemetry,21:48:46,,151,26.57,1.82,0,23,10,4,8,163,655,92
telemetry,21:48:46,,152,26.10,0.79,0,694,10,4,12,163,657,92
telemetry,21:48:47,,152,27.03,1.28,0,401,11,4,8,163,642,92
telemetry,21:48:47,,153,25.16,0.24,0,790,11,4,9,163,645,92
telemetry,21:48:48,,153,28.44,0.12,0,542,11,5,10,164,646,92
telemetry,21:48:48,,154,26.10,0.91,0,924,11,4,9,163,630,92
telemetry,21:48:49,,154,26.57,-1.64,0,535,10,4,9,164,622,92
telemetry,21:48:49,,155,27.97,-1.46,0,312,11,4,9,163,623,92
telemetry,21:48:50,,155,27.03,0.06,0,105,10,4,9,163,660,92
telemetry,21:48:50,,156,26.57,0.18,0,215,11,4,9,163,660,92
telemetry,21:48:51,,156,26.10,-6.09,0,988,10,4,9,163,712,92
telemetry,21:48:51,,157,26.10,0.91,0,935,10,4,9,165,713,92
telemetry,21:48:52,,157,27.03,0.18,0,100,10,4,9,165,713,92
telemetry,21:48:52,,158,37.80,0.24,0,650,11,4,9,163,730,92
telemetry,21:48:53,,158,26.10,-3.59,0,452,10,4,9,164,684,92
telemetry,21:48:53,,159,26.57,-5.42,0,308,11,4,9,164,742,92
telemetry,21:48:54,,159,26.57,4.75,0,981,11,4,9,163,760,92
telemetry,21:48:54,,160,26.57,2.25,0,200,11,4,9,163,816,92
telemetry,21:48:55,,160,25.63,1.58,0,532,11,4,10,163,892,92
telemetry,21:48:55,,161,27.50,0.06,0,576,10,4,9,163,892,92
telemetry,21:48:56,,161,25.16,-1.09,0,34,11,4,10,163,901,92
telemetry,21:48:56,,162,27.97,-1.15,0,513,10,4,10,164,902,92
telemetry,21:48:57,,162,26.10,-3.17,0,904,11,5,11,164,946,92
telemetry,21:48:57,,163,26.57,1.58,0,906,11,4,10,162,957,92
telemetry,21:48:58,,163,26.57,2.31,0,109,10,4,8,162,963,92
telemetry,21:48:58,,164,26.10,0.54,0,491,10,4,9,163,966,92
telemetry,21:48:59,,164,25.63,0.00,0,473,10,4,10,163,967,92
telemetry,21:48:59,,165,27.97,0.18,0,94,10,4,10,163,976,92
telemetry,21:49:00,,165,27.03,4.63,0,261,10,4,9,163,980,92
telemetry,21:49:00,,166,26.57,-2.31,0,631,10,4,9,163,988,92
pc_command,21:49:01,CAPTURE,0,0.00,NA,0,0,0,0,0,0,NA,92
pico_reply,21:49:01,ACK%2CCAPTURE,0,0.00,NA,0,0,0,0,0,0,NA,92
camera,21:49:03,Camera%20image%20saved%3A%20camera_20260910_214903_963.bmp,0,0.00,NA,0,0,0,0,0,0,NA,92
telemetry,21:49:04,,169,26.10,-2.37,0,234,10,4,9,156,900,92
telemetry,21:49:04,,169,25.16,0.48,0,477,11,5,9,162,889,92
telemetry,21:49:05,,170,27.50,1.34,0,499,10,5,9,163,842,92
telemetry,21:49:05,,171,26.57,8.17,0,545,10,4,9,162,817,92
telemetry,21:49:06,,171,26.10,2.80,0,276,10,5,9,162,640,92
telemetry,21:49:06,,172,26.10,-3.41,0,717,10,4,9,163,607,92
telemetry,21:49:07,,172,26.10,1.21,0,458,11,5,9,162,606,92
telemetry,21:49:07,,173,26.57,0.73,0,351,10,4,10,163,600,92
telemetry,21:49:08,,173,26.57,0.67,0,313,10,4,10,163,602,92
telemetry,21:49:08,,174,26.57,1.89,0,387,10,4,9,163,645,92
telemetry,21:49:09,,174,26.57,0.67,0,267,10,4,8,162,646,92
telemetry,21:49:09,,175,26.10,0.24,0,364,11,4,9,163,646,91
telemetry,21:49:10,,175,26.10,-2.50,0,711,10,5,9,163,679,91
telemetry,21:49:10,,176,26.10,-1.64,0,408,11,4,9,162,680,91
telemetry,21:49:11,,176,26.57,0.36,0,577,11,4,9,162,680,91
telemetry,21:49:11,,177,27.50,0.24,0,963,10,4,9,162,680,91
telemetry,21:49:12,,177,26.57,12.50,0,120,10,5,9,162,690,91
telemetry,21:49:12,,178,26.10,6.03,0,475,10,4,9,163,739,91
telemetry,21:49:13,,178,26.57,-2.56,0,47,10,4,9,162,690,91
telemetry,21:49:13,,179,26.57,-3.41,0,312,10,4,9,162,739,91
telemetry,21:49:14,,179,26.10,-3.41,0,866,10,4,8,162,735,91
telemetry,21:49:14,,180,25.63,0.12,0,917,11,4,9,162,824,91
telemetry,21:49:15,,180,26.57,0.42,0,239,10,5,10,163,860,91
telemetry,21:49:15,,181,26.10,0.18,0,591,10,4,9,162,863,91
telemetry,21:49:16,,181,27.03,0.06,0,18,10,4,8,162,865,91
telemetry,21:49:16,,182,26.57,0.00,0,944,10,4,9,163,865,91
telemetry,21:49:17,,182,26.57,1.70,0,219,10,4,9,163,902,91
telemetry,21:49:17,,183,26.10,-3.41,0,617,10,4,10,164,939,91
telemetry,21:49:18,,183,26.57,1.58,0,46,11,4,11,164,940,91
telemetry,21:49:18,,184,26.57,1.40,0,775,10,5,10,163,941,91
telemetry,21:49:19,,184,27.50,0.54,0,189,10,5,10,163,941,91
telemetry,21:49:19,,185,27.03,-3.35,0,97,10,5,11,164,986,91
telemetry,21:49:20,,185,25.63,-3.53,0,85,11,4,10,163,988,91
telemetry,21:49:20,,186,26.57,11.28,0,493,11,4,11,166,989,91
telemetry,21:49:21,,186,26.57,-2.31,0,41,11,4,11,167,989,91
telemetry,21:49:21,,187,26.57,1.76,0,851,11,4,11,167,988,91
telemetry,21:49:22,,187,26.57,0.73,0,242,11,5,10,166,988,91
telemetry,21:49:22,,188,27.03,-3.35,0,121,11,5,10,165,989,91
telemetry,21:49:23,,188,28.44,1.46,0,16,12,10,30,182,989,91
telemetry,21:49:23,,189,26.10,1.03,0,924,13,17,52,203,988,92
telemetry,21:49:24,,189,26.10,0.30,0,291,12,14,47,188,988,92
telemetry,21:49:24,,190,26.57,1.09,0,865,10,5,10,166,990,92
telemetry,21:49:25,,190,26.10,0.18,0,150,11,5,13,166,990,92
telemetry,21:49:25,,191,26.57,0.12,0,58,10,5,13,167,989,92
telemetry,21:49:26,,191,26.57,-2.19,0,88,10,5,13,165,990,92
telemetry,21:49:26,,192,26.57,-4.69,0,488,10,5,15,167,994,92
telemetry,21:49:27,,192,26.57,0.60,0,548,10,5,15,168,882,92
telemetry,21:49:27,,193,26.57,8.59,0,861,10,5,14,167,769,92
telemetry,21:49:28,,193,26.57,-5.30,0,351,10,5,12,166,640,92
telemetry,21:49:28,,194,27.03,-1.03,0,477,10,5,12,167,658,92
telemetry,21:49:29,,194,26.57,1.82,0,206,10,4,9,165,704,92
telemetry,21:49:29,,195,27.50,-1.03,0,923,10,4,9,165,726,92
telemetry,21:49:30,,195,27.03,-1.46,0,891,10,4,10,165,727,92
telemetry,21:49:30,,196,26.57,0.73,0,378,10,4,9,164,728,92
telemetry,21:49:31,,196,26.10,-2.25,0,402,10,4,9,164,727,92
telemetry,21:49:31,,197,27.50,0.67,0,312,10,4,10,165,729,92
telemetry,21:49:32,,197,27.50,0.00,0,427,10,4,10,166,738,92
telemetry,21:49:32,,198,27.03,0.18,0,799,10,4,11,166,739,92
telemetry,21:49:33,,198,27.03,0.00,0,49,10,4,11,166,739,92
telemetry,21:49:33,,199,27.03,2.43,0,944,10,4,11,166,746,92
telemetry,21:49:34,,199,27.03,2.19,0,847,10,4,10,166,685,92
