type,received_at,event_text_encoded,uptime_s,temp_c,gyro_z_dps,gyro_z_angle_deg,command_value,random,pd0,pd1,pd2,pd3,photoreflector_adc,wifi_signal_quality
connection,12:59:59,Pico%20connected,0,0.00,NA,NA,0,0,0,0,0,0,NA,91
pico_reply,12:59:59,PICO_CONNECTED,0,0.00,NA,NA,0,0,0,0,0,0,NA,91
pico_reply,12:59:59,ERROR%2CCAMERA%2CSCCB%20communication%20failed,0,0.00,NA,NA,0,0,0,0,0,0,NA,91
telemetry,12:59:59,,45,24.69,0.00,0.17,0,581,764,765,771,771,653,91
telemetry,13:00:00,,45,26.10,0.05,0.18,0,341,765,765,771,772,665,91
telemetry,13:00:00,,46,32.18,0.12,0.18,0,431,764,765,772,771,664,91
telemetry,13:00:01,,46,25.63,0.01,0.18,0,365,765,765,772,771,665,91
telemetry,13:00:01,,47,25.63,0.03,0.18,0,394,764,765,771,771,661,91
telemetry,13:00:02,,47,26.57,0.07,0.17,0,676,765,765,771,772,664,91
pc_command,13:00:02,CAPTURE,0,0.00,NA,NA,0,0,0,0,0,0,NA,91
pico_reply,13:00:02,ACK%2CCAPTURE,0,0.00,NA,NA,0,0,0,0,0,0,NA,91
camera,13:00:05,Camera%20image%20saved%3A%20camera_20260911_130005_252.bmp,0,0.00,NA,NA,0,0,0,0,0,0,NA,91
telemetry,13:00:05,,50,26.57,0.01,0.18,0,932,765,765,771,771,942,91
telemetry,13:00:05,,51,26.10,0.20,0.18,0,165,765,765,771,771,937,91
telemetry,13:00:06,,51,26.57,0.01,0.18,0,534,765,765,771,771,956,91
telemetry,13:00:06,,52,26.57,0.05,0.18,0,38,764,765,771,771,944,91
telemetry,13:00:07,,52,26.57,0.07,0.18,0,216,765,765,771,771,942,91
telemetry,13:00:07,,53,26.57,0.02,0.18,0,518,764,765,771,771,910,91
telemetry,13:00:08,,53,27.03,0.00,0.18,0,186,764,765,772,771,906,91
telemetry,13:00:08,,54,26.57,0.02,0.18,0,200,764,763,771,772,904,91
telemetry,13:00:09,,54,27.03,3.91,0.25,0,595,497,761,761,769,950,91
telemetry,13:00:09,,55,27.03,21.66,29.51,0,821,288,624,770,773,831,91
telemetry,13:00:10,,55,26.10,-4.64,31.48,0,819,334,538,766,769,710,91
telemetry,13:00:10,,56,26.10,-34.57,11.02,0,836,521,754,771,772,547,91
telemetry,13:00:11,,56,27.50,8.86,18.71,0,222,763,759,767,771,530,91
telemetry,13:00:11,,57,27.50,0.01,18.48,0,538,764,764,771,771,642,91
telemetry,13:00:12,,57,27.50,0.04,18.48,0,192,763,764,771,771,712,91
pc_command,13:00:12,CAPTURE,0,0.00,NA,NA,0,0,0,0,0,0,NA,91
pico_reply,13:00:12,ACK%2CCAPTURE,0,0.00,NA,NA,0,0,0,0,0,0,NA,91
camera,13:00:13,Camera%20image%20saved%3A%20camera_20260911_130013_668.bmp,0,0.00,NA,NA,0,0,0,0,0,0,NA,91
telemetry,13:00:13,,59,27.97,0.01,18.48,0,688,764,763,771,771,653,91
telemetry,13:00:14,,59,26.57,0.03,18.48,0,60,764,764,771,771,664,91
telemetry,13:00:14,,60,27.50,0.01,18.48,0,579,764,764,775,771,727,91
telemetry,13:00:15,,60,27.50,0.05,18.48,0,1,764,764,771,771,727,91
telemetry,13:00:15,,61,25.63,0.04,18.48,0,689,764,764,771,771,726,91
