type,received_at,event_text_encoded,uptime_s,temp_c,gyro_z_dps,gyro_z_angle_deg,command_value,random,pd0,pd1,pd2,pd3,photoreflector_adc,wifi_signal_quality
connection,09:30:28,Pico%20connected,0,0.00,NA,NA,0,0,0,0,0,0,NA,90
pico_reply,09:30:28,PICO_CONNECTED,0,0.00,NA,NA,0,0,0,0,0,0,NA,90
pico_reply,09:30:28,ERROR%2CCAMERA%2CSCCB%20communication%20failed,0,0.00,NA,NA,0,0,0,0,0,0,NA,90
telemetry,09:30:28,,81,28.44,0.00,NA,0,919,769,771,771,767,839,90
telemetry,09:30:29,,82,30.31,0.06,NA,0,793,769,771,771,767,882,90
telemetry,09:30:29,,82,28.91,0.12,NA,0,942,769,771,771,767,881,90
telemetry,09:30:30,,83,35.46,0.06,NA,0,153,769,771,771,767,880,90
telemetry,09:30:30,,83,31.25,0.12,NA,0,589,769,771,771,767,879,90
telemetry,09:30:31,,84,30.31,0.12,NA,0,137,769,771,771,767,895,90
telemetry,09:30:31,,84,30.31,0.06,NA,0,229,769,771,771,767,895,90
telemetry,09:30:32,,85,32.18,0.12,NA,0,80,769,771,771,767,896,90
telemetry,09:30:32,,85,29.84,0.06,NA,0,885,770,771,771,767,897,90
telemetry,09:30:33,,86,28.44,0.06,NA,0,719,771,771,771,767,897,90
telemetry,09:30:33,,86,29.84,0.12,NA,0,875,769,771,771,767,964,90
telemetry,09:30:34,,87,36.40,0.00,NA,0,666,769,771,771,767,964,90
telemetry,09:30:34,,87,30.78,0.06,NA,0,73,769,771,771,767,964,90
telemetry,09:30:35,,88,30.31,0.06,NA,0,17,769,771,771,767,964,90
telemetry,09:30:35,,88,34.06,0.12,NA,0,828,769,771,771,767,964,90
telemetry,09:30:36,,89,29.84,0.24,NA,0,484,770,771,771,767,988,90
telemetry,09:30:36,,89,30.31,0.12,NA,0,10,769,771,771,767,990,90
telemetry,09:30:37,,90,30.31,0.06,NA,0,416,770,771,771,767,990,90
telemetry,09:30:37,,90,28.91,0.24,NA,0,888,769,771,771,767,991,90
telemetry,09:30:38,,91,29.84,0.06,NA,0,547,769,771,771,767,992,90
telemetry,09:30:38,,91,29.84,0.12,NA,0,601,769,771,771,767,990,90
telemetry,09:30:39,,92,28.91,0.06,NA,0,780,769,771,771,767,990,90
telemetry,09:30:39,,92,30.78,0.12,NA,0,966,769,771,771,767,989,90
telemetry,09:30:40,,93,28.91,0.00,NA,0,268,769,771,771,767,989,90
telemetry,09:30:40,,93,30.31,0.12,NA,0,142,769,771,771,767,992,90
telemetry,09:30:41,,94,29.84,0.06,NA,0,963,769,771,771,767,991,90
telemetry,09:30:41,,94,30.78,0.06,NA,0,681,769,771,771,767,991,90
telemetry,09:30:42,,95,30.31,0.06,NA,0,70,769,771,771,767,991,90
telemetry,09:30:42,,95,31.72,0.06,NA,0,687,769,772,771,767,991,90
telemetry,09:30:43,,96,30.31,0.18,NA,0,824,769,771,771,767,993,90
telemetry,09:30:43,,96,29.84,0.06,NA,0,831,769,771,771,766,993,90
telemetry,09:30:44,,97,30.78,0.06,NA,0,364,769,771,771,766,992,90
telemetry,09:30:44,,97,30.78,0.06,NA,0,409,769,771,771,767,993,90
telemetry,09:30:45,,98,31.25,0.06,NA,0,911,769,771,771,767,992,90
pc_command,09:30:45,CAPTURE,0,0.00,NA,NA,0,0,0,0,0,0,NA,90
pico_reply,09:30:45,ACK%2CCAPTURE,0,0.00,NA,NA,0,0,0,0,0,0,NA,90
camera,09:30:48,Camera%20image%20saved%3A%20camera_20260911_093048_319.bmp,0,0.00,NA,NA,0,0,0,0,0,0,NA,90
telemetry,09:30:48,,101,30.31,0.00,NA,0,814,770,771,771,767,991,90
telemetry,09:30:48,,101,30.31,0.06,NA,0,301,769,770,771,767,991,90
telemetry,09:30:49,,102,31.25,0.12,NA,0,380,769,771,771,767,990,90
telemetry,09:30:49,,102,30.78,0.00,NA,0,892,769,771,771,767,990,90
telemetry,09:30:50,,103,30.31,0.12,NA,0,581,769,771,771,767,989,90
telemetry,09:30:50,,103,30.78,0.00,NA,0,120,769,771,771,767,990,90
telemetry,09:30:51,,104,30.78,0.12,NA,0,337,769,771,771,767,990,90
telemetry,09:30:51,,104,30.31,0.00,NA,0,505,769,771,771,768,989,90
telemetry,09:30:52,,105,29.84,0.12,NA,0,153,769,771,771,767,988,90
telemetry,09:30:52,,105,30.31,0.12,NA,0,921,769,771,771,767,989,90
telemetry,09:30:53,,106,30.31,0.18,NA,0,711,769,771,771,767,989,90
telemetry,09:30:53,,106,29.84,0.06,NA,0,582,769,771,771,766,989,90
telemetry,09:30:54,,107,30.78,0.12,NA,0,589,769,771,771,767,990,90
telemetry,09:30:54,,107,30.31,0.24,NA,0,551,769,771,771,766,989,90
telemetry,09:30:55,,108,30.78,0.12,NA,0,332,769,771,771,766,991,90
telemetry,09:30:55,,108,30.31,0.12,NA,0,382,769,771,771,767,991,90
telemetry,09:30:56,,109,30.78,0.12,NA,0,70,769,771,771,766,990,90
telemetry,09:30:56,,109,30.31,0.12,NA,0,240,769,771,771,767,989,90
telemetry,09:30:57,,110,30.78,1.82,NA,0,577,769,771,771,767,987,90
telemetry,09:30:57,,110,30.31,0.06,NA,0,30,769,771,771,767,990,90
telemetry,09:30:58,,111,30.78,0.06,NA,0,51,769,771,771,767,991,90
telemetry,09:30:58,,111,30.31,0.30,NA,0,555,769,771,771,767,990,90
telemetry,09:30:59,,112,30.31,0.06,NA,0,58,769,771,771,767,990,90
pc_command,09:30:59,CAPTURE,0,0.00,NA,NA,0,0,0,0,0,0,NA,90
pico_reply,09:30:59,ACK%2CCAPTURE,0,0.00,NA,NA,0,0,0,0,0,0,NA,90
camera,09:31:00,Camera%20image%20saved%3A%20camera_20260911_093100_609.bmp,0,0.00,NA,NA,0,0,0,0,0,0,NA,90
telemetry,09:31:00,,113,30.31,0.12,NA,0,286,769,771,771,767,990,90
telemetry,09:31:01,,113,31.25,0.12,NA,0,43,769,771,770,766,990,90
telemetry,09:31:01,,114,31.25,0.06,NA,0,250,769,771,771,767,989,90
telemetry,09:31:02,,114,31.25,0.12,NA,0,637,769,771,771,766,989,90
telemetry,09:31:02,,115,30.31,0.06,NA,0,124,769,771,771,766,993,90
telemetry,09:31:03,,116,30.78,0.12,NA,0,625,769,771,771,767,992,90
telemetry,09:31:03,,116,30.78,0.06,NA,0,881,769,771,771,767,991,90
telemetry,09:31:04,,117,30.31,0.06,NA,0,564,769,771,771,767,992,90
pc_command,09:31:04,10,0,0.00,NA,NA,0,0,0,0,0,0,NA,90
pico_reply,09:31:04,ACK%2CSET_VALUE%2C10,0,0.00,NA,NA,0,0,0,0,0,0,NA,90
telemetry,09:31:04,,117,30.78,2.25,NA,10,994,769,771,771,767,896,90
telemetry,09:31:05,,118,30.31,0.67,NA,10,437,769,771,771,767,775,90
telemetry,09:31:05,,118,30.78,1.03,NA,10,377,769,771,771,766,839,90
telemetry,09:31:06,,119,30.31,-1.52,NA,10,969,769,771,771,767,760,90
pc_command,09:31:06,0,0,0.00,NA,NA,0,0,0,0,0,0,NA,90
pico_reply,09:31:06,ACK%2CSET_VALUE%2C0,0,0.00,NA,NA,0,0,0,0,0,0,NA,90
telemetry,09:31:06,,119,30.31,0.00,NA,0,515,769,771,771,767,968,90
telemetry,09:31:07,,120,30.78,0.00,NA,0,360,769,771,771,767,976,90
telemetry,09:31:07,,120,29.84,0.12,NA,0,416,769,771,771,767,979,90
telemetry,09:31:08,,121,30.31,0.12,NA,0,522,770,771,770,767,981,90
telemetry,09:31:08,,121,30.78,0.12,NA,0,586,769,771,771,767,982,90
telemetry,09:31:09,,122,29.84,0.00,NA,0,749,769,771,771,767,983,90
pc_command,09:31:09,-100,0,0.00,NA,NA,0,0,0,0,0,0,NA,90
pico_reply,09:31:09,ACK%2CSET_VALUE%2C-100,0,0.00,NA,NA,0,0,0,0,0,0,NA,90
telemetry,09:31:09,,122,31.25,0.24,NA,-100,247,769,771,771,767,972,90
telemetry,09:31:10,,123,30.78,0.24,NA,-100,575,769,771,771,767,945,90
telemetry,09:31:10,,123,31.25,0.00,NA,-100,281,770,771,771,767,823,90
pc_command,09:31:10,0,0,0.00,NA,NA,0,0,0,0,0,0,NA,90
pico_reply,09:31:11,ACK%2CSET_VALUE%2C0,0,0.00,NA,NA,0,0,0,0,0,0,NA,90
telemetry,09:31:11,,124,30.31,0.00,NA,0,519,769,771,771,767,988,90
telemetry,09:31:11,,124,30.31,0.06,NA,0,282,769,771,771,767,989,90
telemetry,09:31:12,,125,30.78,0.12,NA,0,807,769,771,771,767,988,90
telemetry,09:31:12,,125,30.31,0.12,NA,0,259,769,771,771,767,988,90
telemetry,09:31:13,,126,30.78,0.12,NA,0,718,769,771,771,767,988,90
telemetry,09:31:13,,126,30.78,0.06,NA,0,682,769,771,771,768,988,90
telemetry,09:31:14,,127,30.31,0.00,NA,0,204,769,771,770,767,988,90
telemetry,09:31:14,,127,30.78,0.06,NA,0,720,769,771,771,767,987,90
telemetry,09:31:15,,128,30.31,0.06,NA,0,15,769,771,771,767,988,90
telemetry,09:31:15,,128,30.31,0.12,NA,0,520,769,771,771,767,988,90
telemetry,09:31:16,,129,31.25,0.06,NA,0,76,769,771,771,768,988,90
telemetry,09:31:16,,129,30.31,0.18,NA,0,358,769,771,771,767,988,90
telemetry,09:31:17,,130,29.84,0.06,NA,0,380,770,771,771,767,987,90
telemetry,09:31:17,,130,30.31,0.00,NA,0,113,770,771,771,767,989,90
telemetry,09:31:18,,131,30.78,0.06,NA,0,442,769,771,771,767,987,90
telemetry,09:31:18,,131,31.25,0.12,NA,0,292,769,771,771,767,989,90
telemetry,09:31:19,,132,31.25,0.18,NA,0,170,769,771,771,767,988,90
telemetry,09:31:19,,132,30.31,0.06,NA,0,435,769,771,771,767,988,90
telemetry,09:31:20,,133,30.78,0.12,NA,0,990,769,771,771,767,988,90
telemetry,09:31:20,,133,29.84,0.06,NA,0,202,769,771,771,767,988,90
telemetry,09:31:21,,134,30.78,0.12,NA,0,106,769,771,771,767,988,90
telemetry,09:31:21,,134,30.31,0.06,NA,0,283,770,771,771,767,988,90
telemetry,09:31:22,,135,30.31,0.12,NA,0,796,769,771,771,767,989,90
telemetry,09:31:22,,135,30.31,0.12,NA,0,321,769,771,771,767,987,90
pc_command,09:31:23,C,0,0.00,NA,NA,0,0,0,0,0,0,NA,90
pico_reply,09:31:23,PICO_REPLY%3A%20C,0,0.00,NA,NA,0,0,0,0,0,0,NA,90
telemetry,09:31:23,,136,30.78,0.12,NA,0,953,769,771,771,767,988,90
telemetry,09:31:23,,136,30.78,0.12,NA,0,773,769,771,770,767,988,90
telemetry,09:31:24,,137,31.25,0.12,NA,0,425,769,771,771,767,988,90
telemetry,09:31:24,,137,30.78,0.18,NA,0,54,769,771,771,767,988,90
telemetry,09:31:25,,138,30.78,0.12,NA,0,504,769,771,771,767,988,90
telemetry,09:31:25,,138,30.78,0.12,NA,0,962,770,771,771,767,988,90
telemetry,09:31:26,,139,30.78,0.12,NA,0,661,769,771,771,766,988,90
telemetry,09:31:26,,139,31.25,0.12,NA,0,205,769,771,771,767,988,90
telemetry,09:31:27,,140,31.25,0.12,NA,0,523,769,771,771,767,988,90
telemetry,09:31:27,,140,30.78,0.12,NA,0,510,769,771,771,767,988,90
telemetry,09:31:28,,141,30.78,0.00,NA,0,625,769,771,771,767,988,90
telemetry,09:31:28,,141,30.78,0.06,NA,0,927,769,771,771,767,987,90
telemetry,09:31:29,,142,30.78,0.12,NA,0,589,769,771,771,767,989,90
telemetry,09:31:29,,142,30.31,0.06,NA,0,209,769,771,771,767,988,90
telemetry,09:31:30,,143,30.78,0.18,NA,0,224,770,771,771,766,989,90
telemetry,09:31:30,,143,30.31,0.06,NA,0,84,769,771,771,767,988,90
telemetry,09:31:31,,144,30.78,0.06,NA,0,152,769,771,770,767,988,90
telemetry,09:31:31,,144,31.72,0.06,NA,0,149,769,771,771,767,988,90
telemetry,09:31:32,,145,31.25,0.12,NA,0,595,769,771,770,767,988,90
telemetry,09:31:32,,145,29.84,0.06,NA,0,976,769,771,771,767,988,90
telemetry,09:31:33,,146,29.84,0.12,NA,0,539,770,771,771,767,989,90
telemetry,09:31:33,,146,31.25,0.00,NA,0,544,769,771,771,767,989,90
telemetry,09:31:34,,147,29.84,0.12,NA,0,639,770,771,771,767,988,90
telemetry,09:31:34,,147,30.78,0.06,NA,0,812,769,771,771,767,988,90
telemetry,09:31:35,,148,29.84,0.00,NA,0,693,769,771,771,767,988,90
telemetry,09:31:35,,148,31.25,0.12,NA,0,196,769,771,771,767,988,90
telemetry,09:31:36,,149,30.78,0.12,NA,0,895,770,771,771,767,988,90
telemetry,09:31:36,,149,30.78,0.06,NA,0,559,769,771,771,767,988,90
telemetry,09:31:37,,150,30.78,0.06,NA,0,447,769,771,771,767,987,90
telemetry,09:31:37,,150,31.25,0.12,NA,0,300,769,771,771,767,988,90
telemetry,09:31:38,,151,30.78,0.06,NA,0,875,769,771,771,767,988,90
telemetry,09:31:38,,151,30.31,0.12,NA,0,612,769,771,771,767,988,90
telemetry,09:31:39,,152,30.31,0.18,NA,0,655,769,771,771,767,988,90
telemetry,09:31:39,,152,30.31,0.06,NA,0,15,769,771,771,767,989,90
telemetry,09:31:40,,153,31.25,0.06,NA,0,30,769,771,771,767,988,90
telemetry,09:31:40,,153,32.18,0.12,NA,0,921,769,771,771,767,988,90
telemetry,09:31:41,,154,31.72,0.12,NA,0,192,769,771,771,767,989,90
telemetry,09:31:41,,154,30.31,0.12,NA,0,237,769,771,771,766,987,90
telemetry,09:31:42,,155,30.31,0.06,NA,0,584,770,771,771,767,988,90
telemetry,09:31:42,,155,30.31,0.12,NA,0,818,769,771,771,767,988,90
telemetry,09:31:43,,156,30.78,0.00,NA,0,971,770,771,771,767,988,90
telemetry,09:31:43,,156,30.78,0.12,NA,0,554,770,771,771,767,988,90
telemetry,09:31:44,,157,30.78,0.06,NA,0,192,769,771,771,767,988,90
telemetry,09:31:44,,157,30.31,0.18,NA,0,851,769,771,771,767,989,90
telemetry,09:31:45,,158,31.25,0.06,NA,0,341,769,771,770,767,988,90
telemetry,09:31:45,,158,31.25,0.12,NA,0,376,769,771,771,767,988,90
telemetry,09:31:46,,159,30.78,0.06,NA,0,183,769,771,771,767,988,90
telemetry,09:31:46,,159,30.78,0.06,NA,0,970,769,771,770,767,988,90
telemetry,09:31:47,,160,30.31,0.06,NA,0,713,769,771,771,767,988,90
telemetry,09:31:48,,160,30.78,0.06,NA,0,755,769,771,771,766,988,90
telemetry,09:31:48,,161,30.78,0.06,NA,0,904,769,771,770,766,988,90
pc_command,09:31:48,50,0,0.00,NA,NA,0,0,0,0,0,0,NA,90
pico_reply,09:31:48,ACK%2CSET_VALUE%2C50,0,0.00,NA,NA,0,0,0,0,0,0,NA,90
telemetry,09:31:48,,161,30.31,-2.62,NA,50,634,769,771,771,767,991,90
telemetry,09:31:49,,162,31.72,0.60,NA,50,550,769,771,771,767,989,90
telemetry,09:31:50,,162,30.78,0.06,NA,50,74,769,771,771,768,984,90
telemetry,09:31:50,,163,30.78,0.36,NA,50,331,769,771,771,767,989,90
telemetry,09:31:51,,163,31.25,1.09,NA,50,91,769,771,771,767,984,90
telemetry,09:31:51,,164,31.25,0.18,NA,50,316,769,771,771,768,984,90
telemetry,09:31:52,,164,30.78,0.91,NA,50,97,769,771,771,768,979,90
telemetry,09:31:52,,165,30.78,1.89,NA,50,367,769,771,771,768,984,90
telemetry,09:31:53,,165,30.78,0.24,NA,50,397,769,771,771,768,988,90
telemetry,09:31:53,,166,30.31,0.42,NA,50,449,769,771,771,768,990,90
telemetry,09:31:54,,166,31.25,0.73,NA,50,478,769,771,770,768,991,90
pc_command,09:31:54,70,0,0.00,NA,NA,0,0,0,0,0,0,NA,90
pico_reply,09:31:54,ACK%2CSET_VALUE%2C70,0,0.00,NA,NA,0,0,0,0,0,0,NA,90
telemetry,09:31:54,,167,31.25,0.30,NA,70,12,769,771,771,767,988,90
telemetry,09:31:55,,167,30.78,-1.28,NA,70,371,769,771,771,768,985,90
telemetry,09:31:55,,168,30.78,-1.28,NA,70,455,769,771,771,767,980,90
telemetry,09:31:56,,168,31.72,1.64,NA,70,361,769,771,771,768,939,90
telemetry,09:31:56,,169,30.78,0.85,NA,70,512,769,771,771,768,845,90
telemetry,09:31:57,,169,32.65,-1.21,NA,70,608,769,771,771,768,836,90
telemetry,09:31:57,,170,31.25,0.73,NA,70,111,770,771,771,768,776,90
telemetry,09:31:58,,170,30.31,1.34,NA,70,757,769,771,770,768,696,90
telemetry,09:31:58,,171,30.78,0.60,NA,70,182,769,771,771,768,604,90
telemetry,09:31:59,,171,30.78,0.24,NA,70,335,769,771,771,767,606,90
telemetry,09:31:59,,172,31.25,0.97,NA,70,842,769,771,771,767,604,90
telemetry,09:32:00,,172,31.25,-1.64,NA,70,117,769,771,771,768,583,90
telemetry,09:32:00,,173,31.25,0.73,NA,70,596,769,771,771,767,584,91
telemetry,09:32:01,,173,30.78,-2.37,NA,70,515,769,771,771,768,565,91
telemetry,09:32:01,,174,30.31,0.24,NA,70,466,769,771,771,768,589,91
telemetry,09:32:02,,175,30.31,0.06,NA,70,654,769,771,771,768,627,91
telemetry,09:32:02,,175,30.78,0.73,NA,70,515,769,771,771,768,676,91
telemetry,09:32:03,,176,30.78,-1.28,NA,70,318,769,771,771,768,679,91
telemetry,09:32:03,,176,31.72,0.06,NA,70,323,769,771,771,768,704,91
telemetry,09:32:04,,177,30.78,-1.09,NA,70,513,769,771,771,768,726,91
pc_command,09:32:04,80,0,0.00,NA,NA,0,0,0,0,0,0,NA,91
pico_reply,09:32:04,ACK%2CSET_VALUE%2C80,0,0.00,NA,NA,0,0,0,0,0,0,NA,91
telemetry,09:32:04,,177,30.78,-1.21,NA,80,478,769,770,771,768,682,91
telemetry,09:32:05,,178,30.31,0.12,NA,80,23,769,771,771,768,654,91
telemetry,09:32:05,,178,31.25,-1.52,NA,80,501,769,771,771,767,629,91
telemetry,09:32:06,,179,30.31,0.79,NA,80,92,769,771,771,768,615,91
telemetry,09:32:06,,179,30.78,0.12,NA,80,823,769,771,771,767,694,91
telemetry,09:32:07,,180,30.78,0.97,NA,80,968,769,771,771,767,694,91
telemetry,09:32:07,,180,30.31,0.00,NA,80,130,769,771,771,767,718,91
telemetry,09:32:08,,181,31.72,0.97,NA,80,267,769,771,771,767,813,91
telemetry,09:32:08,,181,30.78,0.91,NA,80,73,769,771,771,768,801,91
