type,received_at,event_text_encoded,uptime_s,temp_c,gyro_z_dps,command_value,random,pd0,pd1,pd2,pd3,lbr127hld,wifi_signal_quality
telemetry,17:10:19,,228,26.57,0.06,0,11,769,769,768,764,NA,90
telemetry,17:10:23,,228,26.10,-2.25,0,201,770,770,768,765,NA,90
telemetry,17:10:23,,229,26.10,0.24,0,456,769,770,768,764,NA,90
telemetry,17:10:23,,229,27.50,0.42,0,623,770,769,768,764,NA,90
telemetry,17:10:23,,230,27.97,0.30,0,501,770,769,768,763,NA,90
telemetry,17:10:23,,230,45.76,0.18,0,15,770,770,768,764,NA,90
telemetry,17:10:23,,231,26.10,0.12,0,26,770,769,768,763,NA,90
telemetry,17:10:23,,231,26.57,-1.03,0,246,769,769,768,763,NA,90
telemetry,17:10:23,,232,26.57,0.18,0,551,769,769,768,764,NA,90
telemetry,17:10:23,,232,27.50,0.24,0,688,770,769,768,764,NA,90
telemetry,17:10:23,,233,26.57,0.24,0,597,770,770,768,764,NA,90
telemetry,17:10:24,,233,26.57,0.12,0,517,770,769,768,764,NA,90
telemetry,17:10:24,,234,27.97,0.00,0,876,770,770,768,764,NA,90
telemetry,17:10:25,,234,27.50,0.12,0,763,770,769,768,764,NA,90
telemetry,17:10:25,,235,26.57,0.30,0,259,770,769,768,764,NA,90
telemetry,17:10:26,,235,26.57,0.00,0,994,770,770,768,764,NA,90
telemetry,17:10:26,,236,26.57,0.00,0,948,770,769,768,763,NA,85
telemetry,17:10:27,,236,31.72,0.06,0,801,770,770,768,764,NA,85
telemetry,17:10:27,,237,31.25,0.12,0,296,770,769,768,764,NA,85
telemetry,17:10:32,,237,26.10,0.67,0,201,770,770,768,763,NA,85
telemetry,17:10:34,,238,27.97,1.28,0,504,770,769,768,763,NA,85
telemetry,17:10:34,,238,25.16,0.42,0,406,769,769,768,762,NA,85
telemetry,17:10:34,,239,27.50,1.03,0,603,770,769,768,763,NA,85
telemetry,17:10:34,,239,27.97,0.18,0,745,770,769,768,764,NA,85
telemetry,17:10:34,,240,28.44,0.12,0,581,769,769,768,763,NA,85
telemetry,17:10:34,,240,27.97,0.06,0,172,770,770,768,764,NA,85
telemetry,17:10:34,,241,27.50,0.18,0,724,769,769,768,764,NA,85
telemetry,17:10:34,,242,26.57,0.00,0,441,770,769,768,763,NA,85
telemetry,17:10:34,,242,27.50,0.48,0,584,770,769,768,763,NA,85
telemetry,17:10:35,,244,26.57,0.48,0,19,770,769,768,764,NA,85
telemetry,17:10:36,,245,26.10,0.18,0,301,770,769,768,764,NA,85
telemetry,17:10:36,,245,26.10,0.36,0,713,770,769,768,764,NA,85
telemetry,17:10:36,,246,27.50,0.06,0,568,770,769,768,764,NA,85
telemetry,17:10:37,,246,27.03,0.18,0,835,770,769,767,764,NA,85
telemetry,17:10:37,,247,34.53,0.73,0,684,770,770,768,765,NA,85
telemetry,17:10:38,,247,26.10,0.12,0,797,770,769,768,765,NA,85
telemetry,17:10:38,,248,27.50,0.18,0,612,770,769,768,764,NA,85
telemetry,17:10:39,,248,36.40,0.12,0,866,770,769,768,764,NA,85
telemetry,17:10:39,,249,26.57,0.00,0,340,770,769,768,764,NA,86
telemetry,17:10:40,,249,27.03,0.06,0,328,770,769,768,765,NA,86
telemetry,17:10:41,,250,26.57,0.42,0,632,770,770,768,764,NA,86
telemetry,17:10:41,,250,26.57,0.18,0,19,770,769,768,763,NA,86
telemetry,17:10:41,,251,27.03,0.00,0,846,770,769,768,762,NA,86
telemetry,17:10:42,,251,26.57,0.30,0,208,770,769,768,763,NA,86
telemetry,17:10:42,,252,26.57,0.24,0,647,770,769,768,764,NA,86
telemetry,17:10:43,,252,30.78,0.24,0,545,770,769,767,763,NA,86
telemetry,17:10:43,,253,26.57,0.36,0,474,770,769,768,764,NA,86
telemetry,17:10:44,,253,26.57,0.54,0,131,770,769,768,764,NA,86
telemetry,17:10:44,,254,27.03,0.06,0,844,770,769,768,764,NA,86
telemetry,17:10:45,,254,26.57,0.06,0,753,770,770,768,764,NA,86
telemetry,17:10:45,,255,30.31,0.48,0,901,770,769,767,764,NA,86
telemetry,17:10:46,,255,26.57,0.24,0,651,770,769,767,765,NA,86
telemetry,17:10:46,,256,27.03,0.18,0,505,769,769,768,764,NA,86
telemetry,17:10:47,,256,27.50,0.06,0,691,770,769,767,764,NA,86
telemetry,17:10:47,,257,26.10,0.12,0,49,770,769,768,764,NA,86
telemetry,17:10:48,,258,27.50,0.54,0,953,770,769,767,764,NA,86
telemetry,17:10:48,,258,26.57,0.12,0,897,770,769,768,764,NA,86
telemetry,17:10:49,,259,27.03,0.18,0,379,770,769,767,764,NA,86
telemetry,17:10:49,,259,27.03,0.91,0,467,769,769,767,764,NA,86
telemetry,17:10:50,,260,27.50,0.24,0,531,770,769,768,765,NA,86
telemetry,17:10:50,,260,27.03,0.06,0,2,770,769,767,765,NA,86
pc_command,17:10:51,CAPTURE,0,0.00,NA,0,0,0,0,0,0,NA,86
telemetry,17:10:51,,261,26.10,0.12,0,515,770,769,767,765,NA,86
pico_reply,17:10:53,ACK%2CCAPTURE,0,0.00,NA,0,0,0,0,0,0,NA,86
camera,17:10:55,Camera%20image%20saved%3A%20camera_20260910_171055_180.bmp,0,0.00,NA,0,0,0,0,0,0,NA,86
telemetry,17:10:55,,265,27.03,0.73,0,902,770,769,767,764,NA,86
telemetry,17:10:55,,265,26.57,0.06,0,201,770,769,767,763,NA,86
telemetry,17:10:56,,266,27.03,0.00,0,835,770,769,767,764,NA,86
telemetry,17:10:56,,266,26.57,0.24,0,287,770,769,767,764,NA,86
telemetry,17:10:57,,267,26.10,0.79,0,389,769,769,767,763,NA,86
