type,received_at,event_text_encoded,uptime_s,temp_c,gyro_z_dps,command_value,random,pd0,pd1,pd2,pd3,lbr127hld,wifi_signal_quality
connection,17:09:41,Pico%20connected,0,0.00,NA,0,0,0,0,0,0,NA,89
pico_reply,17:09:41,PICO_CONNECTED,0,0.00,NA,0,0,0,0,0,0,NA,89
telemetry,17:09:41,,190,26.10,0.60,0,928,770,769,768,765,NA,89
telemetry,17:09:41,,191,26.10,0.18,0,495,769,769,768,765,NA,89
telemetry,17:09:42,,191,26.10,0.60,0,720,770,770,768,765,NA,89
telemetry,17:09:42,,192,26.57,0.06,0,232,769,769,768,765,NA,89
telemetry,17:09:43,,192,26.57,0.30,0,582,766,769,768,762,NA,89
telemetry,17:09:43,,193,26.57,0.60,0,154,764,769,768,474,NA,89
telemetry,17:09:44,,194,26.57,-1.70,0,275,764,769,768,711,NA,89
telemetry,17:09:45,,194,26.57,0.48,0,500,770,769,768,765,NA,89
telemetry,17:09:45,,195,26.57,0.12,0,510,770,769,768,765,NA,89
pc_command,17:09:46,CAPTURE,0,0.00,NA,0,0,0,0,0,0,NA,90
telemetry,17:09:47,,195,26.57,0.18,0,792,770,770,768,765,NA,90
telemetry,17:09:47,,196,26.57,0.06,0,127,770,769,768,765,NA,90
telemetry,17:09:47,,196,26.10,0.06,0,875,770,769,768,765,NA,90
pico_reply,17:09:47,ACK%2CCAPTURE,0,0.00,NA,0,0,0,0,0,0,NA,90
pico_reply,17:09:47,ERROR%2CCAMERA%2CSCCB%20communication%20failed,0,0.00,NA,0,0,0,0,0,0,NA,90
telemetry,17:09:47,,197,25.16,0.18,0,722,769,769,768,765,NA,90
telemetry,17:09:47,,197,26.57,0.06,0,121,770,769,768,764,NA,90
telemetry,17:09:48,,198,26.57,0.18,0,778,769,769,768,765,NA,90
telemetry,17:09:48,,198,26.10,0.91,0,578,770,769,768,765,NA,90
telemetry,17:09:49,,199,27.03,0.12,0,313,770,769,768,765,NA,90
telemetry,17:09:49,,199,26.57,0.54,0,684,770,769,768,764,NA,90
telemetry,17:09:50,,200,26.57,0.06,0,534,769,769,767,764,NA,90
telemetry,17:09:50,,200,26.57,0.00,0,700,770,769,768,763,NA,90
telemetry,17:09:52,,201,28.91,0.18,0,892,769,769,768,762,NA,90
telemetry,17:09:52,,201,46.70,0.24,0,654,769,769,768,763,NA,90
telemetry,17:09:52,,202,26.57,0.12,0,41,769,769,768,762,NA,90
telemetry,17:09:52,,202,27.03,0.06,0,950,770,769,768,763,NA,90
telemetry,17:09:53,,203,26.10,0.00,0,796,769,769,768,764,NA,90
telemetry,17:09:53,,203,26.57,0.24,0,976,769,769,768,763,NA,90
telemetry,17:09:54,,204,26.57,-1.70,0,132,769,769,768,763,NA,90
telemetry,17:09:54,,204,27.03,0.18,0,296,769,769,768,764,NA,90
telemetry,17:09:55,,205,27.97,0.79,0,448,769,769,768,764,NA,90
telemetry,17:09:55,,205,32.18,0.24,0,214,769,769,768,763,NA,90
telemetry,17:09:57,,206,27.97,0.00,0,17,769,769,768,763,NA,90
telemetry,17:09:58,,206,27.03,0.06,0,142,770,769,768,764,NA,88
telemetry,17:09:58,,207,27.03,0.30,0,652,769,769,768,764,NA,88
telemetry,17:09:58,,207,26.57,0.48,0,587,769,769,768,764,NA,88
telemetry,17:09:58,,208,25.16,0.06,0,685,769,769,768,764,NA,88
telemetry,17:09:58,,208,25.16,0.24,0,93,769,769,768,764,NA,88
telemetry,17:09:59,,209,26.57,0.18,0,511,769,769,768,764,NA,88
telemetry,17:09:59,,209,27.03,0.06,0,328,769,769,768,763,NA,88
telemetry,17:10:00,,210,27.03,0.00,0,776,769,769,768,764,NA,88
telemetry,17:10:00,,210,27.03,0.06,0,117,769,769,768,764,NA,88
telemetry,17:10:01,,211,26.57,0.60,0,966,770,769,768,763,NA,88
telemetry,17:10:01,,211,26.10,0.06,0,690,770,769,768,763,NA,88
telemetry,17:10:02,,212,26.57,0.06,0,660,770,769,768,763,NA,88
telemetry,17:10:02,,212,26.57,0.18,0,961,770,769,768,764,NA,88
telemetry,17:10:03,,213,26.10,0.18,0,988,770,769,768,764,NA,88
telemetry,17:10:03,,213,26.57,0.12,0,91,770,769,768,763,NA,88
telemetry,17:10:04,,214,26.57,0.24,0,153,770,769,768,763,NA,88
telemetry,17:10:04,,214,26.57,0.06,0,63,769,769,768,764,NA,88
telemetry,17:10:05,,215,26.57,0.06,0,526,773,770,768,764,NA,88
telemetry,17:10:05,,215,26.57,0.18,0,483,769,769,768,764,NA,88
telemetry,17:10:06,,216,27.50,0.00,0,518,769,769,768,762,NA,88
telemetry,17:10:06,,216,26.57,0.00,0,365,769,769,768,763,NA,88
telemetry,17:10:07,,217,28.44,0.97,0,683,770,769,768,763,NA,88
telemetry,17:10:07,,217,26.57,0.12,0,969,769,769,768,763,NA,88
telemetry,17:10:08,,218,27.03,0.06,0,871,770,769,768,764,NA,88
telemetry,17:10:08,,218,26.10,0.06,0,549,770,769,768,764,NA,88
telemetry,17:10:09,,219,26.57,0.06,0,654,769,769,768,763,NA,88
telemetry,17:10:10,,219,28.44,0.06,0,316,769,770,768,763,NA,88
telemetry,17:10:10,,220,31.25,0.30,0,63,770,769,768,764,NA,88
telemetry,17:10:10,,220,26.57,0.12,0,374,769,769,768,764,NA,88
telemetry,17:10:11,,221,28.91,0.30,0,119,769,769,768,764,NA,88
telemetry,17:10:12,,221,26.57,0.24,0,771,769,769,768,764,NA,88
telemetry,17:10:12,,222,26.10,0.36,0,647,769,769,768,764,NA,88
telemetry,17:10:13,,222,26.57,0.30,0,957,770,769,768,764,NA,88
telemetry,17:10:13,,223,26.57,0.42,0,372,770,769,768,763,NA,88
telemetry,17:10:14,,223,26.57,0.12,0,900,770,769,768,764,NA,88
telemetry,17:10:14,,224,26.57,0.06,0,494,770,769,768,765,NA,88
telemetry,17:10:14,,224,27.03,0.67,0,649,769,770,768,764,NA,88
telemetry,17:10:15,,225,27.03,0.24,0,427,769,769,768,765,NA,88
telemetry,17:10:15,,225,27.50,0.60,0,302,770,769,768,764,NA,88
telemetry,17:10:16,,226,26.10,0.00,0,299,770,769,768,764,NA,88
telemetry,17:10:17,,226,27.50,0.12,0,866,770,769,768,765,NA,88
telemetry,17:10:17,,227,31.72,0.79,0,690,770,769,768,765,NA,88
telemetry,17:10:17,,227,27.50,0.00,0,641,769,769,768,764,NA,88
