type,received_at,event_text_encoded,uptime_s,temp_c,gyro_z_dps,gyro_z_angle_deg,command_value,random,pd0,pd1,pd2,pd3,photoreflector_adc,wifi_signal_quality
connection,09:48:19,Pico%20connected,0,0.00,NA,NA,0,0,0,0,0,0,NA,92
pico_reply,09:48:19,PICO_CONNECTED,0,0.00,NA,NA,0,0,0,0,0,0,NA,92
pico_reply,09:48:19,ERROR%2CCAMERA%2CSCCB%20communication%20failed,0,0.00,NA,NA,0,0,0,0,0,0,NA,92
telemetry,09:48:19,,44,24.69,0.06,0.00,0,632,767,769,768,766,962,92
telemetry,09:48:19,,44,26.10,0.00,0.03,0,416,767,769,769,766,979,92
telemetry,09:48:20,,45,25.16,0.06,0.06,0,675,767,769,768,766,979,92
telemetry,09:48:20,,45,25.16,0.06,0.09,0,102,767,769,768,766,979,92
telemetry,09:48:21,,46,23.76,0.06,0.12,0,24,767,769,768,766,983,92
telemetry,09:48:21,,46,27.03,0.30,0.03,0,154,767,769,768,766,991,92
telemetry,09:48:22,,47,26.10,0.36,0.15,0,399,767,769,768,766,986,92
telemetry,09:48:22,,47,25.63,0.24,0.27,0,935,766,769,768,766,989,92
telemetry,09:48:23,,48,25.16,0.36,0.46,0,841,767,769,768,767,991,92
telemetry,09:48:23,,48,26.10,0.36,0.64,0,931,766,769,768,767,985,92
telemetry,09:48:24,,49,26.10,0.48,0.39,0,507,765,769,768,767,918,92
telemetry,09:48:24,,49,25.63,0.06,0.46,0,339,765,769,768,767,897,92
telemetry,09:48:25,,50,26.10,0.18,0.55,0,896,766,769,768,766,903,92
telemetry,09:48:25,,50,25.16,0.12,0.61,0,598,767,769,768,766,907,92
telemetry,09:48:26,,51,27.03,0.06,0.64,0,287,767,769,768,767,910,92
telemetry,09:48:26,,51,31.72,0.06,0.67,0,731,767,769,768,767,911,92
telemetry,09:48:27,,52,29.84,0.06,0.70,0,240,767,769,768,766,913,92
telemetry,09:48:27,,52,25.63,0.12,0.76,0,557,766,769,768,766,913,92
telemetry,09:48:28,,53,49.98,0.12,0.83,0,497,767,769,767,767,914,92
telemetry,09:48:28,,53,25.16,1.21,0.21,0,901,767,769,767,767,842,92
telemetry,09:48:29,,54,25.16,0.73,0.15,0,585,767,769,767,767,594,92
telemetry,09:48:29,,54,25.16,0.73,0.49,0,906,766,769,767,767,531,92
