type,received_at,event_text_encoded,uptime_s,temp_c,gyro_z_dps,gyro_z_angle_deg,command_value,random,pd0,pd1,pd2,pd3,photoreflector_adc,wifi_signal_quality
connection,12:50:13,Pico%20connected,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
pico_reply,12:50:13,PICO_CONNECTED,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
pico_reply,12:50:13,ERROR%2CCAMERA%2CSCCB%20communication%20failed,0,0.00,NA,NA,0,0,0,0,0,0,NA,93
telemetry,12:50:13,,49,24.22,0.01,22.34,0,878,769,767,769,769,854,93
telemetry,12:50:13,,50,26.10,0.00,22.34,0,131,769,767,769,769,952,93
telemetry,12:50:14,,50,26.10,0.00,22.34,0,510,769,767,769,770,989,93
telemetry,12:50:14,,51,26.10,0.02,22.34,0,314,770,768,768,769,990,93
telemetry,12:50:15,,51,25.63,0.00,22.34,0,420,769,767,768,769,987,93
telemetry,12:50:15,,52,25.16,0.01,22.34,0,642,769,768,769,770,986,95
telemetry,12:50:16,,52,25.16,0.00,22.34,0,34,769,767,769,770,986,95
telemetry,12:50:16,,53,25.63,0.00,22.34,0,610,769,767,769,770,986,95
telemetry,12:50:17,,53,25.16,0.01,22.34,0,207,769,767,769,770,983,95
telemetry,12:50:17,,54,27.03,0.01,22.34,0,424,769,767,769,769,986,95
telemetry,12:50:18,,54,26.10,0.00,22.34,0,679,769,767,769,769,988,95
telemetry,12:50:18,,55,25.16,0.00,22.34,0,52,769,767,768,769,987,95
telemetry,12:50:19,,55,25.16,0.01,22.34,0,562,770,767,769,769,989,95
telemetry,12:50:19,,56,25.63,0.00,22.34,0,23,770,767,768,769,875,95
telemetry,12:50:20,,56,25.16,0.01,22.34,0,595,769,767,769,769,750,95
telemetry,12:50:20,,57,24.69,0.00,22.34,0,14,769,767,769,769,618,95
telemetry,12:50:21,,57,25.16,0.00,22.34,0,24,769,767,769,769,581,95
telemetry,12:50:21,,58,24.69,0.02,22.34,0,340,769,767,769,769,590,95
telemetry,12:50:22,,58,26.57,0.01,22.34,0,851,769,767,769,769,649,95
telemetry,12:50:22,,59,27.97,0.00,22.34,0,210,769,767,769,769,648,95
telemetry,12:50:23,,59,26.10,0.00,22.34,0,97,769,767,769,770,648,95
pc_command,12:50:23,CAPTURE,0,0.00,NA,NA,0,0,0,0,0,0,NA,95
pico_reply,12:50:23,ACK%2CCAPTURE,0,0.00,NA,NA,0,0,0,0,0,0,NA,95
camera,12:50:25,Camera%20frame%20rejected%3A%20invalid%20RLE%20header,0,0.00,NA,NA,0,0,0,0,0,0,NA,95
camera,12:50:25,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,95
camera,12:50:25,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,95
camera,12:50:25,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,95
camera,12:50:25,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,95
camera,12:50:25,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,95
camera,12:50:25,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,95
pico_reply,12:50:25,%FF%FF%FF%FF%FF%FF%FF%FF%FF%FF%FF%FF%FF%FF%FF%FF%FF%FF%FF%FF%FF%FF%FF%FF%FF%FF%FF%FF%FF%FF%FE%FF%FD%FF%FF%FF%F8%FF%F9%93%F3%29,0,0.00,NA,NA,0,0,0,0,0,0,NA,95
camera,12:50:25,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,95
camera,12:50:26,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,95
camera,12:50:26,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,95
camera,12:50:26,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,95
camera,12:50:26,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,95
camera,12:50:26,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,95
camera,12:50:26,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,95
camera,12:50:26,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,95
camera,12:50:26,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,95
camera,12:50:26,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,95
camera,12:50:26,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,95
camera,12:50:26,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,95
camera,12:50:26,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,95
camera,12:50:26,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,95
camera,12:50:26,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,95
camera,12:50:26,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,95
camera,12:50:26,Camera%2Fcontrol%20line%20discarded%3A%20too%20long,0,0.00,NA,NA,0,0,0,0,0,0,NA,95
