type,received_at,event_text_encoded,uptime_s,temp_c,gyro_z_dps,command_value,random,pd0,pd1,pd2,pd3,photoreflector_adc,wifi_signal_quality
connection,20:03:50,Pico%20connected,0,0.00,NA,0,0,0,0,0,0,NA,92
pico_reply,20:03:50,PICO_CONNECTED,0,0.00,NA,0,0,0,0,0,0,NA,92
telemetry,20:03:50,,20,26.10,0.06,0,22,772,771,769,767,989,92
telemetry,20:03:50,,20,27.50,0.06,0,486,772,771,769,767,975,92
telemetry,20:03:51,,21,27.50,0.12,0,876,772,771,769,767,981,92
telemetry,20:03:51,,21,27.50,0.18,0,852,772,771,769,768,982,92
telemetry,20:03:52,,22,27.50,0.06,0,128,772,772,769,768,923,92
telemetry,20:03:52,,22,27.50,0.12,0,986,772,771,769,767,928,92
telemetry,20:03:53,,23,27.50,0.12,0,894,771,771,769,767,846,92
telemetry,20:03:53,,23,27.50,0.06,0,750,771,771,769,767,807,92
telemetry,20:03:54,,24,27.50,0.12,0,324,772,771,769,767,825,92
telemetry,20:03:54,,24,27.50,0.24,0,426,772,771,769,767,757,92
telemetry,20:03:55,,25,27.97,0.12,0,568,771,772,769,767,763,92
telemetry,20:03:55,,25,27.50,0.06,0,612,772,771,769,767,766,92
telemetry,20:03:56,,26,27.50,0.12,0,49,772,771,769,767,769,92
telemetry,20:03:56,,26,27.50,0.12,0,566,771,771,769,767,771,92
telemetry,20:03:57,,27,27.50,0.12,0,490,771,771,769,767,773,92
telemetry,20:03:57,,27,27.50,0.06,0,787,770,771,769,767,727,92
telemetry,20:03:58,,28,27.50,1.15,0,836,770,771,769,765,606,92
telemetry,20:03:58,,28,27.97,-1.34,0,867,771,771,769,763,687,92
telemetry,20:03:59,,29,27.97,2.37,0,627,771,771,769,763,653,92
telemetry,20:03:59,,29,27.50,0.06,0,172,771,771,769,763,678,92
pc_command,20:04:00,CAPTURE,0,0.00,NA,0,0,0,0,0,0,NA,92
pico_reply,20:04:00,ACK%2CCAPTURE,0,0.00,NA,0,0,0,0,0,0,NA,92
pico_reply,20:04:00,ERROR%2CCAMERA%2CSCCB%20communication%20failed,0,0.00,NA,0,0,0,0,0,0,NA,92
telemetry,20:04:00,,30,27.50,0.12,0,215,772,771,769,765,618,92
telemetry,20:04:00,,30,27.50,0.06,0,4,772,771,769,767,606,92
telemetry,20:04:01,,31,28.44,0.06,0,990,772,771,769,767,604,92
telemetry,20:04:01,,31,28.44,0.06,0,796,772,771,769,767,604,92
telemetry,20:04:02,,32,28.44,0.12,0,183,772,771,769,767,604,92
telemetry,20:04:02,,32,27.97,0.06,0,701,772,771,769,767,603,92
telemetry,20:04:03,,33,27.50,0.06,0,509,772,771,769,767,603,92
telemetry,20:04:03,,33,28.91,0.12,0,245,772,771,769,767,603,92
telemetry,20:04:04,,34,28.91,0.12,0,185,772,771,769,767,603,92
telemetry,20:04:04,,34,28.44,0.06,0,460,772,771,765,767,603,92
telemetry,20:04:05,,35,27.50,0.06,0,970,772,771,765,766,604,92
telemetry,20:04:05,,35,27.97,0.18,0,857,772,771,768,764,603,92
telemetry,20:04:06,,36,27.50,0.06,0,141,771,771,769,747,603,92
telemetry,20:04:06,,36,30.78,0.12,0,539,772,771,769,758,616,92
telemetry,20:04:07,,37,28.91,0.06,0,653,772,771,769,764,616,92
telemetry,20:04:07,,37,28.44,0.06,0,51,772,771,769,764,666,92
telemetry,20:04:08,,38,27.50,0.18,0,731,771,771,769,764,666,92
telemetry,20:04:08,,38,27.97,0.06,0,611,771,771,768,726,666,92
telemetry,20:04:09,,39,27.03,0.00,0,15,771,771,769,761,712,92
telemetry,20:04:10,,39,28.44,0.12,0,605,771,771,769,762,711,92
telemetry,20:04:10,,40,39.21,0.06,0,99,771,771,768,761,711,92
telemetry,20:04:11,,40,28.44,0.12,0,621,771,771,769,763,711,92
telemetry,20:04:11,,41,27.97,0.06,0,615,770,771,768,764,690,92
telemetry,20:04:12,,41,27.97,0.85,0,606,771,771,769,765,838,94
telemetry,20:04:12,,42,28.44,0.12,0,635,771,771,769,756,953,94
telemetry,20:04:13,,42,36.40,0.12,0,482,772,771,768,765,968,94
telemetry,20:04:13,,43,28.44,0.06,0,733,772,771,769,765,970,94
telemetry,20:04:14,,43,28.91,0.12,0,383,772,771,768,764,971,94
telemetry,20:04:14,,44,30.31,0.06,0,252,771,771,769,766,980,94
telemetry,20:04:15,,44,27.97,0.06,0,793,772,771,769,765,980,94
telemetry,20:04:15,,45,35.46,0.12,0,126,772,771,768,766,983,94
telemetry,20:04:16,,45,29.84,0.12,0,986,772,771,769,766,985,94
telemetry,20:04:16,,46,28.44,0.12,0,134,772,771,768,763,989,94
telemetry,20:04:17,,46,28.44,0.12,0,61,772,771,769,762,988,94
telemetry,20:04:17,,47,27.50,0.06,0,258,771,771,769,764,988,94
telemetry,20:04:18,,48,28.44,0.06,0,594,771,771,768,764,988,94
telemetry,20:04:18,,48,27.97,0.12,0,873,772,771,769,768,988,94
telemetry,20:04:19,,49,28.91,0.12,0,288,772,771,769,767,984,94
telemetry,20:04:19,,49,28.91,0.06,0,301,772,771,769,767,984,94
telemetry,20:04:20,,50,27.50,0.06,0,77,772,771,768,767,985,94
telemetry,20:04:20,,50,29.84,0.18,0,671,772,771,769,767,985,94
telemetry,20:04:21,,51,27.97,0.12,0,220,772,771,768,767,985,94
telemetry,20:04:21,,51,30.31,0.12,0,912,772,771,769,767,986,94
telemetry,20:04:22,,52,28.44,0.12,0,612,772,772,769,768,986,94
telemetry,20:04:22,,52,27.97,0.18,0,722,772,771,768,767,985,94
telemetry,20:04:23,,53,28.44,0.00,0,797,772,771,769,767,987,94
telemetry,20:04:23,,53,28.44,0.12,0,67,772,771,768,767,986,94
telemetry,20:04:24,,54,36.87,0.00,0,374,772,771,769,767,988,94
telemetry,20:04:24,,54,28.44,0.97,0,742,772,771,769,767,992,94
telemetry,20:04:25,,55,29.37,0.12,0,57,772,771,768,767,991,94
telemetry,20:04:25,,55,27.50,0.06,0,821,772,771,768,767,990,94
telemetry,20:04:26,,56,27.97,0.12,0,786,772,771,768,767,989,94
telemetry,20:04:26,,56,28.91,0.12,0,216,772,771,769,767,989,94
telemetry,20:04:27,,57,28.44,0.06,0,620,772,771,768,767,990,94
telemetry,20:04:27,,57,32.65,0.06,0,607,772,771,769,765,990,94
telemetry,20:04:28,,58,31.25,0.12,0,350,771,771,768,763,990,94
telemetry,20:04:28,,58,28.91,0.06,0,491,770,771,769,763,989,94
telemetry,20:04:29,,59,27.97,0.06,0,933,768,771,768,765,993,94
telemetry,20:04:29,,59,28.44,0.06,0,514,770,771,769,766,992,94
telemetry,20:04:30,,60,28.44,0.12,0,423,771,771,769,768,990,94
telemetry,20:04:30,,60,27.97,0.24,0,64,771,771,768,767,991,94
telemetry,20:04:31,,61,27.97,0.12,0,424,772,771,769,767,991,94
telemetry,20:04:31,,61,28.44,-2.50,0,868,771,771,768,767,986,94
telemetry,20:04:32,,62,28.91,0.06,0,635,771,771,769,768,957,94
telemetry,20:04:32,,62,27.97,0.06,0,958,771,771,768,767,968,94
telemetry,20:04:33,,63,27.97,0.12,0,143,771,771,768,767,973,94
telemetry,20:04:33,,63,27.97,0.48,0,876,771,771,769,767,801,94
telemetry,20:04:34,,64,28.91,0.18,0,712,772,771,769,767,832,94
telemetry,20:04:34,,64,28.91,0.06,0,215,771,771,769,767,836,94
pc_command,20:04:35,CAPTURE,0,0.00,NA,0,0,0,0,0,0,NA,94
pico_reply,20:04:35,ACK%2CCAPTURE,0,0.00,NA,0,0,0,0,0,0,NA,94
camera,20:04:37,Camera%20image%20saved%3A%20camera_20260910_200437_689.bmp,0,0.00,NA,0,0,0,0,0,0,NA,94
telemetry,20:04:37,,67,28.44,0.18,0,510,775,768,773,767,614,94
telemetry,20:04:38,,68,28.91,0.12,0,39,771,771,769,767,623,94
telemetry,20:04:38,,68,28.44,0.12,0,732,771,771,769,767,601,94
telemetry,20:04:39,,69,28.44,0.00,0,404,771,771,769,767,605,94
telemetry,20:04:39,,69,28.44,0.12,0,659,771,771,769,767,608,94
telemetry,20:04:40,,70,28.44,0.06,0,310,771,771,769,767,609,94
telemetry,20:04:40,,70,28.44,0.06,0,55,771,771,769,767,610,94
telemetry,20:04:41,,71,28.44,0.12,0,939,771,771,768,767,557,94
telemetry,20:04:41,,71,28.44,0.06,0,659,771,771,769,768,560,94
telemetry,20:04:42,,72,28.91,0.18,0,927,771,771,769,768,561,94
telemetry,20:04:42,,72,28.91,0.06,0,381,772,771,769,769,562,94
telemetry,20:04:43,,73,28.44,0.18,0,222,771,771,768,768,563,94
telemetry,20:04:43,,73,28.44,0.12,0,959,771,771,769,768,550,96
telemetry,20:04:44,,74,30.31,0.06,0,970,771,771,768,765,551,96
telemetry,20:04:44,,74,27.97,0.12,0,367,771,771,769,763,551,96
telemetry,20:04:45,,75,27.97,0.12,0,356,771,771,769,764,552,96
telemetry,20:04:45,,75,27.97,0.06,0,453,771,771,769,764,598,96
telemetry,20:04:46,,76,28.91,0.12,0,767,771,771,769,765,629,96
telemetry,20:04:46,,76,27.97,0.12,0,546,771,771,768,763,629,96
telemetry,20:04:47,,77,28.44,0.12,0,561,771,771,769,768,629,96
telemetry,20:04:47,,77,28.91,0.12,0,835,771,771,769,768,629,96
telemetry,20:04:48,,78,28.91,0.42,0,822,771,771,769,767,701,96
telemetry,20:04:48,,78,28.44,0.00,0,42,771,771,769,768,619,96
telemetry,20:04:49,,79,28.44,0.00,0,745,771,771,769,768,692,96
telemetry,20:04:49,,79,29.84,0.06,0,783,771,771,769,767,699,96
telemetry,20:04:50,,80,28.44,0.06,0,962,768,768,769,762,700,96
telemetry,20:04:50,,80,28.91,68.04,0,417,769,674,771,693,730,96
telemetry,20:04:51,,81,28.91,100.73,0,32,764,757,766,763,895,96
telemetry,20:04:51,,81,28.91,-182.43,0,817,764,705,767,763,762,96
telemetry,20:04:52,,82,28.44,-40.24,0,615,764,753,773,476,733,96
telemetry,20:04:52,,82,28.91,50.67,0,56,769,576,771,698,732,96
telemetry,20:04:53,,83,28.44,10.00,0,314,768,742,768,626,746,96
telemetry,20:04:53,,83,29.84,0.12,0,794,770,771,770,758,751,96
telemetry,20:04:54,,84,28.91,0.06,0,402,771,771,770,768,748,96
telemetry,20:04:54,,84,28.91,0.18,0,552,770,771,770,768,745,96
telemetry,20:04:55,,85,28.91,0.12,0,137,770,771,770,767,744,96
telemetry,20:04:55,,85,28.91,0.00,0,783,770,771,770,764,734,96
telemetry,20:04:56,,86,28.91,0.18,0,793,770,771,770,765,733,96
telemetry,20:04:56,,86,29.84,0.12,0,93,770,771,770,765,732,96
telemetry,20:04:57,,87,28.44,0.42,0,989,770,771,767,755,732,96
telemetry,20:04:57,,87,28.91,0.06,0,318,770,771,768,764,732,96
telemetry,20:04:58,,88,28.44,0.06,0,682,771,771,770,766,781,96
telemetry,20:04:58,,88,28.91,0.12,0,281,770,771,769,765,781,92
telemetry,20:04:59,,89,29.84,0.12,0,380,770,771,770,766,780,92
telemetry,20:04:59,,89,28.91,0.00,0,926,769,769,770,767,779,92
telemetry,20:05:00,,90,28.44,-7.98,0,85,768,764,769,765,792,92
telemetry,20:05:00,,90,28.91,30.42,0,458,767,766,769,767,835,92
telemetry,20:05:01,,91,29.84,-15.73,0,640,765,768,770,767,831,92
telemetry,20:05:01,,91,29.84,0.12,0,459,769,771,770,766,831,92
telemetry,20:05:02,,92,28.91,0.06,0,392,770,771,769,764,966,92
telemetry,20:05:02,,92,28.91,0.06,0,395,770,771,769,767,986,92
telemetry,20:05:03,,93,29.84,0.12,0,817,770,771,769,766,991,92
telemetry,20:05:03,,93,28.91,0.18,0,734,770,771,770,767,986,92
telemetry,20:05:04,,94,28.44,0.06,0,45,770,771,769,768,985,92
telemetry,20:05:04,,94,28.44,0.12,0,814,770,771,770,768,986,92
telemetry,20:05:05,,95,29.37,0.18,0,561,770,771,770,768,985,92
telemetry,20:05:05,,95,29.84,0.12,0,972,770,771,770,768,987,92
telemetry,20:05:06,,96,28.44,0.12,0,928,770,771,770,768,987,92
telemetry,20:05:06,,96,28.44,0.12,0,343,771,771,770,769,987,92
telemetry,20:05:07,,97,28.91,0.06,0,607,770,771,769,769,987,92
telemetry,20:05:07,,97,28.91,0.12,0,393,771,771,770,769,985,92
telemetry,20:05:08,,98,29.37,0.06,0,789,770,771,769,768,985,92
telemetry,20:05:08,,98,28.91,0.12,0,573,770,771,769,768,984,92
telemetry,20:05:09,,99,28.91,0.06,0,242,770,771,770,768,983,92
telemetry,20:05:09,,99,29.37,0.12,0,321,770,771,769,767,985,92
telemetry,20:05:10,,100,29.37,0.12,0,834,770,771,770,768,983,92
telemetry,20:05:10,,100,28.91,0.12,0,35,769,771,769,768,984,92
telemetry,20:05:11,,101,29.84,0.06,0,924,770,771,770,768,984,92
telemetry,20:05:12,,101,28.44,0.06,0,378,770,771,769,768,984,92
telemetry,20:05:12,,102,28.91,0.12,0,401,770,771,770,768,985,92
telemetry,20:05:13,,102,29.84,0.06,0,267,770,771,770,767,987,92
telemetry,20:05:13,,103,29.37,0.67,0,240,770,771,770,768,985,92
telemetry,20:05:14,,103,28.91,0.12,0,408,769,771,769,768,986,92
telemetry,20:05:14,,104,30.31,0.06,0,29,769,771,770,768,990,92
telemetry,20:05:15,,104,28.91,0.06,0,542,770,771,770,768,987,92
telemetry,20:05:15,,105,28.44,0.12,0,679,769,771,769,768,987,92
telemetry,20:05:16,,105,29.84,0.06,0,177,770,771,770,768,986,92
telemetry,20:05:16,,106,28.44,0.06,0,0,769,771,769,768,987,92
telemetry,20:05:17,,106,28.44,0.12,0,453,769,771,770,768,987,92
telemetry,20:05:17,,107,30.31,0.12,0,783,769,771,770,768,986,92
telemetry,20:05:18,,107,30.31,0.12,0,809,769,771,769,768,986,92
telemetry,20:05:18,,108,29.84,0.06,0,957,769,771,770,767,987,92
telemetry,20:05:19,,108,29.84,0.12,0,854,768,771,769,768,987,92
telemetry,20:05:19,,109,29.37,0.06,0,4,770,771,769,768,987,92
telemetry,20:05:20,,109,28.91,0.12,0,555,769,771,769,768,987,92
telemetry,20:05:20,,110,29.37,0.12,0,18,769,771,770,768,988,92
telemetry,20:05:21,,111,29.84,0.12,0,629,768,771,769,767,985,92
telemetry,20:05:21,,111,29.37,0.12,0,244,770,771,769,766,986,92
telemetry,20:05:22,,112,29.84,0.91,0,235,769,771,770,767,986,92
telemetry,20:05:22,,112,28.91,0.06,0,775,769,771,769,767,989,92
telemetry,20:05:23,,113,29.84,0.12,0,717,769,771,770,767,988,92
telemetry,20:05:23,,113,28.91,0.18,0,315,769,771,769,766,988,90
telemetry,20:05:24,,114,29.84,0.12,0,793,768,771,769,767,988,90
telemetry,20:05:24,,114,28.91,0.18,0,2,769,771,770,767,988,90
telemetry,20:05:25,,115,28.91,0.12,0,411,767,771,769,767,929,90
