type,received_at,event_text_encoded,uptime_s,temp_c,gyro_z_dps,command_value,random,pd0,pd1,pd2,pd3,photoreflector_adc,wifi_signal_quality
connection,17:52:01,Pico%20connected,0,0.00,NA,0,0,0,0,0,0,NA,99
pico_reply,17:52:01,PICO_CONNECTED,0,0.00,NA,0,0,0,0,0,0,NA,99
telemetry,17:52:01,,1053,22.35,0.12,-10,670,524,460,759,765,656,99
telemetry,17:52:01,,1054,25.63,0.18,-10,717,534,472,759,764,655,99
telemetry,17:52:02,,1054,25.63,0.12,-10,725,527,467,759,765,655,99
telemetry,17:52:03,,1055,26.10,0.12,-10,785,514,459,758,764,656,99
telemetry,17:52:03,,1055,26.10,0.06,-10,284,531,474,759,764,655,99
telemetry,17:52:03,,1056,26.57,0.06,-10,106,522,462,759,765,655,99
telemetry,17:52:04,,1056,25.63,0.12,-10,475,511,460,759,765,655,99
telemetry,17:52:04,,1057,26.10,0.06,-10,851,538,474,759,765,655,99
telemetry,17:52:05,,1057,25.16,0.06,-10,465,516,458,759,765,655,99
telemetry,17:52:05,,1058,26.10,0.00,-10,417,518,464,759,764,655,99
telemetry,17:52:06,,1058,25.63,0.12,-10,529,526,470,759,765,655,99
telemetry,17:52:06,,1059,26.10,0.06,-10,996,513,456,759,765,655,99
telemetry,17:52:07,,1059,26.10,0.06,-10,911,519,469,759,765,655,99
telemetry,17:52:08,,1060,26.57,0.85,-10,254,528,471,759,765,654,99
telemetry,17:52:08,,1060,25.63,0.24,-10,936,510,457,759,765,655,99
telemetry,17:52:09,,1061,26.10,0.12,-10,395,536,473,759,765,655,99
telemetry,17:52:09,,1061,25.16,0.06,-10,830,537,469,759,765,655,99
telemetry,17:52:10,,1062,24.69,0.12,-10,262,525,463,759,765,655,99
telemetry,17:52:10,,1063,26.10,0.06,-10,569,548,478,759,765,654,97
telemetry,17:52:11,,1063,26.10,0.06,-10,574,520,463,759,765,656,97
telemetry,17:52:11,,1064,25.16,0.24,-10,60,524,462,759,764,655,97
telemetry,17:52:12,,1064,26.57,0.12,-10,100,529,468,759,765,655,97
telemetry,17:52:12,,1065,25.63,0.18,-10,335,505,453,759,765,655,97
telemetry,17:52:13,,1065,26.10,0.30,-10,365,517,460,759,764,655,97
telemetry,17:52:13,,1066,25.16,0.24,-10,422,525,465,759,765,655,97
telemetry,17:52:14,,1066,27.03,0.00,-10,765,512,451,759,765,655,97
telemetry,17:52:14,,1067,25.63,0.06,-10,836,490,463,759,764,655,97
pc_command,17:52:14,CAPTURE_TEST,0,0.00,NA,0,0,0,0,0,0,NA,97
pico_reply,17:52:14,ACK%2CCAPTURE,0,0.00,NA,0,0,0,0,0,0,NA,97
camera,17:52:15,Camera%20image%20saved%3A%20camera_20260910_175215_756.bmp,0,0.00,NA,0,0,0,0,0,0,NA,97
telemetry,17:52:15,,1068,25.63,0.06,-10,929,510,460,759,765,654,97
telemetry,17:52:16,,1068,25.16,0.18,-10,77,518,466,759,765,655,97
telemetry,17:52:16,,1069,25.16,0.12,-10,220,507,455,759,765,655,97
telemetry,17:52:17,,1069,25.16,0.12,-10,15,528,471,759,765,655,97
telemetry,17:52:17,,1070,24.69,0.06,-10,161,463,463,759,765,655,97
telemetry,17:52:18,,1070,25.63,0.30,-10,105,438,453,759,764,655,97
telemetry,17:52:18,,1071,26.57,0.18,-10,892,440,466,759,765,653,97
telemetry,17:52:19,,1071,25.63,0.18,-10,455,427,452,759,764,655,97
telemetry,17:52:19,,1072,26.10,0.12,-10,835,445,456,758,764,655,97
telemetry,17:52:20,,1072,26.10,0.06,-10,432,535,471,759,765,655,97
telemetry,17:52:20,,1073,26.10,0.06,-10,243,516,455,759,765,655,96
telemetry,17:52:21,,1073,26.10,0.06,-10,753,526,464,759,765,655,96
telemetry,17:52:21,,1074,24.22,0.12,-10,880,526,467,759,765,655,96
telemetry,17:52:22,,1074,26.10,0.30,-10,88,512,453,759,765,655,96
