type,received_at,event_text_encoded,uptime_s,temp_c,gyro_z_dps,gyro_z_angle_deg,command_value,random,pd0,pd1,pd2,pd3,photoreflector_adc,wifi_signal_quality
connection,10:16:38,Pico%20connected,0,0.00,NA,NA,0,0,0,0,0,0,NA,91
pico_reply,10:16:38,PICO_CONNECTED,0,0.00,NA,NA,0,0,0,0,0,0,NA,91
pico_reply,10:16:38,ERROR%2CCAMERA%2CSCCB%20communication%20failed,0,0.00,NA,NA,0,0,0,0,0,0,NA,91
telemetry,10:16:38,,25,28.91,0.00,0.00,0,605,769,769,768,764,991,91
telemetry,10:16:39,,26,28.44,0.54,0.27,0,77,769,769,767,764,987,91
telemetry,10:16:39,,26,27.50,0.18,0.37,0,347,769,769,768,764,988,91
telemetry,10:16:40,,27,28.91,0.67,0.70,0,815,769,769,768,764,990,91
telemetry,10:16:40,,27,28.91,0.97,0.92,0,447,769,769,768,764,993,91
telemetry,10:16:41,,28,31.72,0.36,-1.10,0,262,769,769,768,764,906,91
telemetry,10:16:41,,28,28.44,0.24,-1.23,0,850,769,770,768,764,759,91
telemetry,10:16:42,,29,28.91,0.06,-1.26,0,927,769,769,768,764,757,91
telemetry,10:16:42,,30,28.44,0.12,-1.32,0,574,769,769,768,764,742,91
telemetry,10:16:43,,30,28.91,0.12,-1.38,0,911,769,769,768,764,723,91
telemetry,10:16:43,,31,28.91,0.06,-1.44,0,348,768,769,768,764,589,91
telemetry,10:16:44,,31,28.91,0.06,-1.47,0,729,768,769,768,765,589,91
telemetry,10:16:44,,32,28.91,0.12,-1.54,0,741,768,769,768,764,588,91
telemetry,10:16:45,,32,29.84,0.12,-1.60,0,116,769,769,768,764,587,91
telemetry,10:16:45,,33,28.91,2.07,0.55,0,375,768,769,768,765,560,91
telemetry,10:16:46,,33,41.55,0.06,0.58,0,751,769,770,768,766,586,91
telemetry,10:16:46,,34,28.91,0.12,0.64,0,567,769,769,768,766,585,91
telemetry,10:16:47,,34,29.84,0.12,0.70,0,690,769,770,768,766,564,91
telemetry,10:16:47,,35,28.44,0.12,0.77,0,869,769,769,768,765,533,91
telemetry,10:16:48,,35,31.25,0.06,0.80,0,950,769,769,768,765,533,91
telemetry,10:16:48,,36,29.84,0.12,0.86,0,253,768,769,768,765,520,91
telemetry,10:16:49,,36,29.84,0.97,0.36,0,634,769,770,768,765,597,91
telemetry,10:16:49,,37,28.91,0.48,0.61,0,137,769,769,768,765,702,91
telemetry,10:16:50,,37,29.84,0.06,0.64,0,164,769,769,768,765,674,91
telemetry,10:16:50,,38,28.91,0.00,0.64,0,988,769,770,768,766,633,91
telemetry,10:16:51,,38,28.91,0.06,0.67,0,806,769,769,768,766,693,91
