type,received_at,event_text_encoded,uptime_s,temp_c,gyro_z_dps,command_value,random,pd0,pd1,pd2,pd3,photoreflector_adc,wifi_signal_quality
connection,17:36:54,Pico%20connected,0,0.00,NA,0,0,0,0,0,0,NA,95
pico_reply,17:36:54,PICO_CONNECTED,0,0.00,NA,0,0,0,0,0,0,NA,95
telemetry,17:36:55,,147,24.22,0.30,0,581,769,764,771,767,759,95
telemetry,17:36:55,,147,24.22,0.24,0,198,769,768,767,766,607,95
telemetry,17:36:56,,148,23.29,0.85,0,734,769,768,767,767,612,95
telemetry,17:36:56,,148,24.22,-1.46,0,790,769,768,767,766,720,95
telemetry,17:36:57,,149,23.29,0.18,0,237,769,769,767,766,675,95
telemetry,17:36:57,,149,24.22,0.73,0,833,769,769,767,766,603,95
telemetry,17:36:58,,150,24.22,0.67,0,49,769,768,767,766,868,95
telemetry,17:36:58,,151,24.69,0.42,0,655,769,768,767,766,828,95
telemetry,17:36:59,,151,24.69,0.18,0,380,769,768,767,766,796,95
pc_command,17:36:59,0,0,0.00,NA,0,0,0,0,0,0,NA,95
pico_reply,17:36:59,ACK%2CSET_VALUE%2C0,0,0.00,NA,0,0,0,0,0,0,NA,95
telemetry,17:36:59,,152,23.76,0.00,0,548,769,768,767,766,929,95
telemetry,17:37:00,,152,24.69,-1.46,0,792,769,769,767,766,991,95
telemetry,17:37:00,,153,24.22,0.67,0,174,769,768,767,766,987,95
pc_command,17:37:01,10,0,0.00,NA,0,0,0,0,0,0,NA,95
telemetry,17:37:01,,153,23.76,0.42,0,603,769,768,767,766,988,95
pico_reply,17:37:01,ACK%2CSET_VALUE%2C10,0,0.00,NA,0,0,0,0,0,0,NA,95
telemetry,17:37:01,,154,23.76,0.18,10,350,769,769,767,766,591,95
telemetry,17:37:02,,154,26.10,0.18,10,404,769,768,767,766,797,95
telemetry,17:37:02,,155,24.22,0.18,10,192,769,768,767,766,971,95
pc_command,17:37:02,-10,0,0.00,NA,0,0,0,0,0,0,NA,95
pico_reply,17:37:02,ACK%2CSET_VALUE%2C-10,0,0.00,NA,0,0,0,0,0,0,NA,95
telemetry,17:37:03,,155,24.22,0.06,-10,871,769,769,767,766,683,95
telemetry,17:37:03,,156,24.22,0.12,-10,990,769,768,767,766,682,95
telemetry,17:37:04,,156,23.29,0.06,-10,439,769,768,767,766,681,95
telemetry,17:37:04,,157,24.22,0.06,-10,805,769,768,767,766,681,95
telemetry,17:37:05,,157,22.82,0.12,-10,818,769,768,767,766,680,95
telemetry,17:37:05,,158,24.22,0.00,-10,90,769,768,767,766,681,95
