type,received_at,event_text_encoded,uptime_s,temp_c,gyro_z_dps,command_value,random,pd0,pd1,pd2,pd3,lbr127hld,wifi_signal_quality
connection,17:07:28,Pico%20connected,0,0.00,NA,0,0,0,0,0,0,NA,87
pico_reply,17:07:28,PICO_CONNECTED,0,0.00,NA,0,0,0,0,0,0,NA,87
telemetry,17:07:28,,58,26.10,0.06,0,727,764,769,771,760,NA,87
telemetry,17:07:29,,58,26.10,0.60,0,991,769,769,768,764,NA,87
telemetry,17:07:30,,59,26.57,0.00,0,314,769,769,768,764,NA,87
telemetry,17:07:30,,59,26.10,0.00,0,8,770,769,768,764,NA,87
telemetry,17:07:30,,60,26.10,0.06,0,908,769,769,768,764,NA,87
telemetry,17:07:31,,60,26.57,0.06,0,603,769,769,768,764,NA,87
telemetry,17:07:31,,61,26.57,-1.03,0,916,770,769,768,764,NA,87
telemetry,17:07:32,,61,26.57,0.12,0,63,769,769,768,764,NA,87
telemetry,17:07:32,,62,26.57,0.36,0,540,770,769,768,765,NA,87
telemetry,17:07:33,,62,26.57,0.06,0,908,769,769,768,765,NA,87
telemetry,17:07:33,,63,26.57,0.12,0,319,769,769,768,764,NA,87
telemetry,17:07:34,,63,26.57,0.18,0,215,769,769,768,764,NA,87
telemetry,17:07:34,,64,26.57,0.12,0,360,769,769,768,764,NA,87
telemetry,17:07:36,,64,26.10,0.91,0,764,769,769,768,764,NA,88
telemetry,17:07:36,,65,26.57,0.12,0,907,770,769,768,764,NA,88
telemetry,17:07:36,,65,26.10,0.24,0,558,768,770,771,765,NA,88
telemetry,17:07:36,,66,26.10,0.12,0,9,769,769,768,764,NA,88
telemetry,17:07:37,,66,26.57,0.06,0,876,769,769,768,764,NA,88
telemetry,17:07:37,,67,26.10,0.24,0,365,769,769,768,764,NA,88
telemetry,17:07:38,,67,26.10,0.48,0,419,769,769,768,764,NA,88
telemetry,17:07:38,,68,26.57,0.42,0,573,769,769,768,764,NA,88
telemetry,17:07:39,,68,26.57,0.06,0,873,769,769,768,764,NA,88
telemetry,17:07:39,,69,26.57,0.12,0,709,769,769,768,764,NA,88
telemetry,17:07:40,,69,26.57,0.60,0,694,770,769,768,764,NA,88
telemetry,17:07:40,,70,26.57,0.54,0,871,769,769,768,763,NA,88
telemetry,17:07:41,,71,26.57,0.06,0,555,770,769,768,763,NA,88
telemetry,17:07:41,,71,26.57,0.73,0,255,769,769,768,762,NA,88
telemetry,17:07:42,,72,26.57,0.30,0,310,770,769,768,762,NA,88
telemetry,17:07:43,,72,26.57,0.00,0,831,769,769,768,762,NA,88
telemetry,17:07:44,,73,26.57,0.18,0,32,769,769,768,762,NA,88
telemetry,17:07:44,,73,26.57,0.06,0,786,770,770,768,763,NA,88
telemetry,17:07:44,,74,26.10,0.06,0,779,769,769,768,763,NA,88
telemetry,17:07:44,,74,26.57,0.06,0,192,770,769,768,763,NA,88
telemetry,17:07:45,,75,26.10,0.06,0,609,770,769,768,763,NA,88
telemetry,17:07:45,,75,26.57,0.24,0,485,770,773,768,762,NA,88
telemetry,17:07:46,,76,26.10,0.30,0,616,770,769,768,763,NA,88
telemetry,17:07:46,,76,26.57,0.42,0,302,770,769,768,763,NA,88
telemetry,17:07:47,,77,26.57,0.12,0,176,769,769,768,763,NA,88
telemetry,17:07:47,,77,26.57,-2.92,0,647,770,770,768,763,NA,88
telemetry,17:07:48,,78,26.57,1.64,0,205,769,769,768,763,NA,88
telemetry,17:07:48,,78,26.57,0.36,0,352,769,770,768,763,NA,88
telemetry,17:07:50,,79,26.10,0.48,0,155,769,769,768,763,NA,88
telemetry,17:07:50,,79,26.10,0.18,0,166,770,770,768,763,NA,88
telemetry,17:07:50,,80,26.57,0.24,0,300,769,769,768,763,NA,88
