type,received_at,event_text_encoded,uptime_s,temp_c,gyro_z_dps,command_value,random,pd0,pd1,pd2,pd3,photoreflector_adc,wifi_signal_quality
connection,18:09:52,Pico%20connected,0,0.00,NA,0,0,0,0,0,0,NA,95
pico_reply,18:09:52,PICO_CONNECTED,0,0.00,NA,0,0,0,0,0,0,NA,95
telemetry,18:09:52,,52,22.35,0.54,0,694,765,775,760,772,639,95
telemetry,18:09:52,,52,24.22,0.12,0,958,765,770,768,768,688,95
telemetry,18:09:53,,53,24.22,0.06,0,39,766,770,768,768,673,95
telemetry,18:09:53,,53,24.69,0.24,0,866,765,770,768,768,829,95
telemetry,18:09:54,,54,24.22,0.18,0,129,765,770,768,768,830,95
telemetry,18:09:54,,54,24.22,0.06,0,361,765,770,768,768,931,95
telemetry,18:09:55,,55,24.22,0.24,0,746,765,770,768,768,988,95
telemetry,18:09:55,,55,24.22,0.36,0,694,765,770,768,768,990,95
telemetry,18:09:56,,56,24.22,0.24,0,57,765,770,768,768,983,95
telemetry,18:09:56,,56,24.22,0.60,0,979,765,770,768,768,869,95
telemetry,18:09:57,,57,24.22,0.36,0,301,765,770,768,768,683,95
telemetry,18:09:57,,57,24.22,0.18,0,970,765,770,768,768,555,95
telemetry,18:09:58,,58,24.22,0.67,0,345,765,770,768,768,711,95
telemetry,18:09:58,,58,24.22,0.06,0,654,765,770,768,768,601,95
pc_command,18:09:59,CAPTURE,0,0.00,NA,0,0,0,0,0,0,NA,95
pico_reply,18:09:59,ACK%2CCAPTURE,0,0.00,NA,0,0,0,0,0,0,NA,95
pico_reply,18:09:59,ERROR%2CCAMERA%2CSCCB%20communication%20failed,0,0.00,NA,0,0,0,0,0,0,NA,95
telemetry,18:09:59,,59,24.22,0.30,0,138,765,770,768,768,846,95
telemetry,18:09:59,,59,24.69,0.42,0,451,765,769,768,768,799,95
telemetry,18:10:00,,60,31.72,0.06,0,737,765,769,768,768,989,95
telemetry,18:10:00,,60,24.22,0.97,0,431,765,770,768,768,986,95
telemetry,18:10:01,,61,24.22,0.06,0,857,766,770,768,768,990,95
telemetry,18:10:01,,61,26.57,0.36,0,617,765,770,768,768,982,95
telemetry,18:10:02,,62,24.69,0.12,0,311,765,770,768,768,775,95
telemetry,18:10:02,,62,27.03,-1.40,0,375,767,768,768,768,629,95
telemetry,18:10:03,,63,24.69,0.06,0,890,765,770,768,768,680,95
telemetry,18:10:03,,63,24.69,0.00,0,79,765,769,768,768,657,95
telemetry,18:10:04,,64,24.22,0.12,0,228,765,769,768,768,694,95
telemetry,18:10:04,,64,24.69,0.06,0,515,765,769,768,769,828,95
telemetry,18:10:05,,65,24.22,0.12,0,23,765,770,768,768,906,95
telemetry,18:10:05,,65,24.69,0.18,0,307,765,770,768,768,986,95
telemetry,18:10:06,,66,24.22,0.24,0,815,765,770,768,768,986,95
telemetry,18:10:06,,66,24.22,0.12,0,17,765,769,768,768,991,95
telemetry,18:10:07,,67,23.76,0.06,0,559,765,770,768,768,954,95
telemetry,18:10:07,,67,24.69,0.18,0,712,765,770,768,768,794,95
telemetry,18:10:08,,68,25.16,0.24,0,770,765,770,768,768,617,95
telemetry,18:10:08,,68,27.03,0.24,0,379,765,770,768,768,679,95
telemetry,18:10:09,,69,24.22,0.36,0,722,764,770,768,768,663,95
telemetry,18:10:09,,69,24.69,0.00,0,196,764,770,768,768,708,95
telemetry,18:10:10,,70,25.16,0.00,0,492,765,770,768,768,816,95
telemetry,18:10:10,,70,24.69,0.18,0,531,765,769,768,768,892,95
telemetry,18:10:11,,71,24.69,0.18,0,430,765,770,768,768,987,95
telemetry,18:10:11,,71,24.69,0.12,0,828,765,770,768,768,988,95
pc_command,18:10:11,-10,0,0.00,NA,0,0,0,0,0,0,NA,95
pico_reply,18:10:11,ACK%2CSET_VALUE%2C-10,0,0.00,NA,0,0,0,0,0,0,NA,95
telemetry,18:10:12,,72,24.22,0.12,-10,501,765,770,768,768,989,95
telemetry,18:10:12,,72,24.69,0.12,-10,962,765,770,768,768,989,95
telemetry,18:10:13,,73,25.63,0.12,-10,636,765,770,768,768,989,95
telemetry,18:10:13,,74,25.16,0.12,-10,588,765,770,768,768,989,95
telemetry,18:10:14,,74,24.69,0.12,-10,422,765,770,768,768,989,95
telemetry,18:10:14,,75,25.16,0.06,-10,115,765,769,768,768,989,95
telemetry,18:10:15,,75,24.22,0.00,-10,194,765,770,768,768,989,95
telemetry,18:10:15,,76,32.18,0.06,-10,343,765,770,768,768,990,95
telemetry,18:10:16,,76,24.69,0.00,-10,471,765,769,768,768,990,95
