type,received_at,event_text_encoded,uptime_s,temp_c,gyro_z_dps,command_value,random,pd0,pd1,pd2,pd3,photoreflector_adc,wifi_signal_quality
connection,18:12:43,Pico%20connected,0,0.00,NA,0,0,0,0,0,0,NA,93
pico_reply,18:12:43,PICO_CONNECTED,0,0.00,NA,0,0,0,0,0,0,NA,93
telemetry,18:12:43,,224,26.10,0.06,-10,949,766,770,768,768,989,93
telemetry,18:12:44,,224,25.16,0.12,-10,810,766,770,769,768,989,93
telemetry,18:12:44,,225,26.57,0.06,-10,654,766,770,768,769,988,93
telemetry,18:12:45,,225,26.57,0.06,-10,812,765,770,768,768,989,95
telemetry,18:12:45,,226,26.10,0.12,-10,440,766,770,768,768,989,95
telemetry,18:12:46,,226,26.57,0.06,-10,693,766,770,768,768,989,95
telemetry,18:12:46,,227,26.57,0.06,-10,353,766,770,769,768,989,95
telemetry,18:12:47,,227,26.10,0.06,-10,824,766,770,768,768,989,95
telemetry,18:12:47,,228,25.16,0.06,-10,245,766,770,768,768,988,95
telemetry,18:12:48,,228,26.10,0.06,-10,282,766,770,768,768,989,95
telemetry,18:12:48,,229,25.63,0.06,-10,630,766,770,768,768,989,95
telemetry,18:12:49,,229,26.10,0.06,-10,185,765,770,768,768,989,95
telemetry,18:12:49,,230,26.10,0.12,-10,764,765,770,768,768,989,95
telemetry,18:12:50,,230,26.10,0.12,-10,292,765,770,768,768,989,95
telemetry,18:12:50,,231,25.16,0.06,-10,808,764,770,768,768,988,95
telemetry,18:12:51,,231,24.69,0.06,-10,207,765,770,768,768,989,95
telemetry,18:12:52,,232,27.03,0.18,-10,440,766,770,768,768,989,95
telemetry,18:12:52,,232,26.57,4.26,-10,176,766,770,768,768,989,95
telemetry,18:12:52,,233,27.03,0.06,-10,744,767,770,768,768,989,95
telemetry,18:12:53,,233,27.97,0.06,-10,943,766,770,768,768,989,95
telemetry,18:12:53,,234,25.63,0.00,-10,711,767,770,769,768,989,95
telemetry,18:12:54,,234,26.57,0.06,-10,676,767,770,769,768,988,95
telemetry,18:12:54,,235,26.10,0.06,-10,852,766,770,768,768,989,95
telemetry,18:12:55,,235,28.91,0.06,-10,17,766,770,768,768,988,95
telemetry,18:12:55,,236,26.10,0.00,-10,131,767,770,768,768,988,95
telemetry,18:12:56,,236,25.63,0.12,-10,48,766,770,768,768,989,95
telemetry,18:12:57,,237,26.57,0.06,-10,596,766,770,769,768,989,95
telemetry,18:12:57,,237,30.31,0.06,-10,76,766,770,769,768,988,95
pc_command,18:12:57,10,0,0.00,NA,0,0,0,0,0,0,NA,95
pico_reply,18:12:57,ACK%2CSET_VALUE%2C10,0,0.00,NA,0,0,0,0,0,0,NA,95
