type,received_at,event_text_encoded,uptime_s,temp_c,gyro_z_dps,command_value,random,pd0,pd1,pd2,pd3,photoreflector_adc,wifi_signal_quality
connection,17:53:08,Pico%20connected,0,0.00,NA,0,0,0,0,0,0,NA,97
pico_reply,17:53:08,PICO_CONNECTED,0,0.00,NA,0,0,0,0,0,0,NA,97
telemetry,17:53:08,,1121,24.69,0.00,-10,436,544,465,759,765,655,97
telemetry,17:53:09,,1121,24.69,0.12,-10,390,527,450,759,765,655,97
telemetry,17:53:09,,1122,25.16,0.06,-10,940,542,462,759,767,652,97
telemetry,17:53:10,,1122,25.16,0.06,-10,660,525,453,759,765,655,97
telemetry,17:53:10,,1123,24.69,0.06,-10,16,521,465,759,765,655,97
pc_command,17:53:10,CAPTURE_TEST,0,0.00,NA,0,0,0,0,0,0,NA,97
pico_reply,17:53:11,ACK%2CCAPTURE,0,0.00,NA,0,0,0,0,0,0,NA,97
camera,17:53:12,Camera%20image%20saved%3A%20camera_20260910_175312_034.bmp,0,0.00,NA,0,0,0,0,0,0,NA,97
telemetry,17:53:12,,1124,24.22,0.06,-10,216,532,452,758,767,655,97
telemetry,17:53:12,,1125,24.69,0.12,-10,965,520,443,759,765,655,97
telemetry,17:53:13,,1125,26.10,0.12,-10,183,537,455,759,765,655,97
telemetry,17:53:13,,1126,25.16,0.00,-10,650,535,458,759,765,655,97
telemetry,17:53:14,,1126,24.69,0.00,-10,177,513,452,759,765,655,97
pc_command,17:53:14,CAPTURE_TEST,0,0.00,NA,0,0,0,0,0,0,NA,97
pico_reply,17:53:14,ACK%2CCAPTURE,0,0.00,NA,0,0,0,0,0,0,NA,97
camera,17:53:15,Camera%20image%20saved%3A%20camera_20260910_175315_611.bmp,0,0.00,NA,0,0,0,0,0,0,NA,99
telemetry,17:53:15,,1128,26.57,0.12,-10,643,540,467,759,765,655,99
telemetry,17:53:16,,1128,24.69,0.06,-10,933,527,458,759,765,655,99
telemetry,17:53:16,,1129,25.16,0.06,-10,96,539,466,759,765,655,99
