type,received_at,event_text_encoded,uptime_s,temp_c,gyro_z_dps,gyro_z_angle_deg,command_value,random,pd0,pd1,pd2,pd3,photoreflector_adc,wifi_signal_quality
connection,13:14:35,Pico%20connected,0,0.00,NA,NA,0,0,0,0,0,0,NA,87
pico_reply,13:14:35,PICO_CONNECTED,0,0.00,NA,NA,0,0,0,0,0,0,NA,87
camera,13:14:37,Camera%20image%20saved%3A%20camera_20260911_131437_662.bmp,0,0.00,NA,NA,0,0,0,0,0,0,NA,87
telemetry,13:14:37,,357,27.97,0.00,-1.16,-2,733,768,766,768,769,682,87
pc_command,13:14:41,5,0,0.00,NA,NA,0,0,0,0,0,0,NA,92
pc_command,13:14:42,-2,0,0.00,NA,NA,0,0,0,0,0,0,NA,92
camera,13:14:43,Camera%20image%20rejected%3A%20corrupt%20RLE%20stream,0,0.00,NA,NA,0,0,0,0,0,0,NA,92
pico_reply,13:14:43,K%5B%2B%5B%2BS%81%2AS%20%2BS%20S,0,0.00,NA,NA,0,0,0,0,0,0,NA,92
pico_reply,13:14:43,%5B%20%5B%29%5B%81%20%5BTELEMETRY%2Cwifi_mode%3DAP%2Cuptime_s%3D363%2Ctemp_c%3D27.50%2Crandom%3D131%2Ccommand_value%3D-2%2Cgyro_z_dps%3D0.00%2Cgyro_z_angle_deg%3D-1.16%2Croll_deg%3D-179.97%2Cpitch_deg%3D-2.10%2Cattitude_calibrated%3D1%2Cimu_samples%3D71877%2Cimu_rejected%3D0%2Cphotodiode_adc%3D768%7C766%7C769%7C770%2Cphotoreflect,0,0.00,NA,NA,0,0,0,0,0,0,NA,92
pc_command,13:14:44,CAPTURE,0,0.00,NA,NA,0,0,0,0,0,0,NA,92
camera,13:14:45,Camera%20image%20rejected%3A%20corrupt%20RLE%20stream,0,0.00,NA,NA,0,0,0,0,0,0,NA,92
pico_reply,13:14:45,i_mode%3DAP%2Cuptime_s%3D365%2Ctemp_c%3D28.44%2Crandom%3D892%2Ccommand_value%3D-2%2Cgyro_z_dps%3D0.00%2Cgyro_z_angle_deg%3D-1.16%2Croll_deg%3D-179.97%2Cpitch_deg%3D-2.09%2Cattitude_calibrated%3D1%2Cimu_samples%3D72196%2Cimu_rejected%3D0%2Cphotodiode_adc%3D768%7C766%7C768%7C769%2Cphotoreflector_adc%3D985,0,0.00,NA,NA,0,0,0,0,0,0,NA,92
camera,13:14:46,Camera%20image%20saved%3A%20camera_20260911_131446_869.bmp,0,0.00,NA,NA,0,0,0,0,0,0,NA,92
telemetry,13:14:46,,366,28.91,0.00,-1.16,-2,599,769,761,769,770,986,92
pc_command,13:14:47,CAPTURE,0,0.00,NA,NA,0,0,0,0,0,0,NA,92
camera,13:14:48,Camera%20image%20rejected%3A%20corrupt%20RLE%20stream,0,0.00,NA,NA,0,0,0,0,0,0,NA,92
pico_reply,13:14:48,e%3D-2%2Cgyro_z_dps%3D0.00%2Cgyro_z_angle_deg%3D-1.16%2Croll_deg%3D-179.96%2Cpitch_deg%3D-2.10%2Cattitude_calibrated%3D1%2Cimu_samples%3D72810%2Cimu_rejected%3D0%2Cphotodiode_adc%3D768%7C766%7C768%7C769%2Cphotoreflector_adc%3D986,0,0.00,NA,NA,0,0,0,0,0,0,NA,92
camera,13:14:49,Camera%20image%20saved%3A%20camera_20260911_131449_934.bmp,0,0.00,NA,NA,0,0,0,0,0,0,NA,92
pc_command,13:14:49,CAPTURE,0,0.00,NA,NA,0,0,0,0,0,0,NA,92
telemetry,13:14:49,,369,27.50,0.00,-1.16,-2,412,768,766,767,769,987,92
pico_reply,13:14:49,ERROR%2CCAMERA_BUSY,0,0.00,NA,NA,0,0,0,0,0,0,NA,92
pc_command,13:14:51,CAPTURE,0,0.00,NA,NA,0,0,0,0,0,0,NA,91
camera,13:14:51,Camera%20image%20rejected%3A%20corrupt%20RLE%20stream,0,0.00,NA,NA,0,0,0,0,0,0,NA,91
pico_reply,13:14:51,om%3D779%2Ccommand_value%3D-2%2Cgyro_z_dps%3D0.00%2Cgyro_z_angle_deg%3D-1.16%2Croll_deg%3D-179.98%2Cpitch_deg%3D-2.09%2Cattitude_calibrated%3D1%2Cimu_samples%3D73424%2Cimu_rejected%3D0%2Cphotodiode_adc%3D767%7C762%7C766%7C769%2Cphotoreflector_adc%3D987,0,0.00,NA,NA,0,0,0,0,0,0,NA,91
pc_command,13:14:53,CAPTURE,0,0.00,NA,NA,0,0,0,0,0,0,NA,91
camera,13:14:54,Camera%20image%20rejected%3A%20CRC%20mismatch,0,0.00,NA,NA,0,0,0,0,0,0,NA,91
pico_reply,13:14:54,%20%ACk%ACs%8Ds%ADs%81%EDs%20%EDts%EDk%81%ACk,0,0.00,NA,NA,0,0,0,0,0,0,NA,91
pico_reply,13:14:54,%CBk%CCk%ECk%EDk%CCs%CCk%ACk%CCs%ADc%8Cc%8Bc%81%8Cc%20lclk%8Ccl%5B%2B%5BK%5Bk%5Bl%5B%8B%5Bl%5BL%5BK%5BL%5BK%5BkS%8B%5Bk%5B%2C%5B%2B%5B%81%2A%5B%20%2BSKS,0,0.00,NA,NA,0,0,0,0,0,0,NA,91
pico_reply,13:14:54,R%EAR%EA%5B%2A%5B%2BS%20%5B%2BZ%EA%5B%20S%20R%EA%5B,0,0.00,NA,NA,0,0,0,0,0,0,NA,91
pico_reply,13:14:54,S,0,0.00,NA,NA,0,0,0,0,0,0,NA,91
pico_reply,13:14:54,cK%5B%2C%5B%81%2AS%20J%5B%2AS%82,0,0.00,NA,NA,0,0,0,0,0,0,NA,91
pico_reply,13:14:54,%5BTELEMETRY%2Cwifi_mode%3DAP%2Cuptime_s%3D373%2Ctemp_c%3D27.50%2Crandom%3D255%2Ccommand_value%3D-2%2Cgyro_z_dps%3D0.00%2Cgyro_z_angle_deg%3D-1.16%2Croll_deg%3D-179.97%2Cpitch_deg%3D-2.10%2Cattitude_calibrated%3D1%2Cimu_samples%3D73955%2Cimu_rejected%3D0%2Cphotodiode_adc%3D767%7C762%7C765%7C769%2Cphotoreflector_adc%3D,0,0.00,NA,NA,0,0,0,0,0,0,NA,91
camera,13:14:55,Camera%20image%20saved%3A%20camera_20260911_131455_821.bmp,0,0.00,NA,NA,0,0,0,0,0,0,NA,91
telemetry,13:14:55,,375,27.50,0.00,-2.16,-2,597,771,764,762,768,987,91
connection,13:14:57,Pico%20disconnected%3B%20waiting%20for%20reconnection,0,0.00,NA,NA,0,0,0,0,0,0,NA,NA
